Categoría: Todas las categorías

Mes,health: (Connecticut)
2015-01,74
2015-02,76
2015-03,75
2015-04,76
2015-05,71
2015-06,71
2015-07,69
2015-08,71
2015-09,73
2015-10,74
2015-11,75
2015-12,69
2016-01,71
2016-02,74
2016-03,70
2016-04,71
2016-05,66
2016-06,68
2016-07,63
2016-08,68
2016-09,70
2016-10,67
2016-11,68
2016-12,62
2017-01,81
2017-02,73
2017-03,75
2017-04,71
2017-05,69
2017-06,69
2017-07,70
2017-08,71
2017-09,73
2017-10,75
2017-11,78
2017-12,66
2018-01,77
2018-02,75
2018-03,70
2018-04,75
2018-05,70
2018-06,72
2018-07,66
2018-08,75
2018-09,71
2018-10,78
2018-11,73
2018-12,66
2019-01,78
2019-02,80
2019-03,74
2019-04,78
2019-05,72
2019-06,69
2019-07,74
2019-08,77
2019-09,73
2019-10,80
2019-11,72
2019-12,68
2020-01,80
2020-02,80
2020-03,85
2020-04,72
2020-05,66
2020-06,72
2020-07,78
2020-08,74
2020-09,79
2020-10,91
2020-11,83
2020-12,78
2021-01,93
2021-02,95
2021-03,99
2021-04,93
2021-05,74
2021-06,73
2021-07,71
2021-08,84
2021-09,89
2021-10,83
2021-11,84
2021-12,91
2022-01,93
2022-02,86
2022-03,87
2022-04,84
2022-05,83
2022-06,79
2022-07,77
2022-08,87
2022-09,85
2022-10,84
2022-11,81
2022-12,78
2023-01,87
2023-02,90
2023-03,85
2023-04,83
2023-05,87
2023-06,80
2023-07,78
2023-08,88
2023-09,86
2023-10,86
2023-11,89
2023-12,79
2024-01,88
2024-02,88
2024-03,89
2024-04,88
2024-05,87
2024-06,82
2024-07,85
2024-08,86
2024-09,88
2024-10,91
2024-11,89
2024-12,90
2025-01,99
2025-02,100
2025-03,99
2025-04,98
2025-05,90
