Categoría: Todas las categorías

Mes,health: (Distrito de Columbia)
2015-01,59
2015-02,61
2015-03,60
2015-04,55
2015-05,51
2015-06,55
2015-07,55
2015-08,54
2015-09,58
2015-10,59
2015-11,56
2015-12,56
2016-01,60
2016-02,64
2016-03,60
2016-04,59
2016-05,55
2016-06,57
2016-07,53
2016-08,56
2016-09,58
2016-10,54
2016-11,58
2016-12,51
2017-01,61
2017-02,59
2017-03,71
2017-04,59
2017-05,58
2017-06,58
2017-07,61
2017-08,61
2017-09,57
2017-10,59
2017-11,74
2017-12,72
2018-01,81
2018-02,85
2018-03,83
2018-04,82
2018-05,79
2018-06,77
2018-07,79
2018-08,81
2018-09,83
2018-10,93
2018-11,89
2018-12,77
2019-01,91
2019-02,89
2019-03,89
2019-04,84
2019-05,78
2019-06,82
2019-07,83
2019-08,77
2019-09,83
2019-10,85
2019-11,83
2019-12,75
2020-01,89
2020-02,87
2020-03,100
2020-04,87
2020-05,72
2020-06,73
2020-07,78
2020-08,73
2020-09,70
2020-10,74
2020-11,69
2020-12,68
2021-01,69
2021-02,73
2021-03,76
2021-04,78
2021-05,65
2021-06,70
2021-07,71
2021-08,76
2021-09,79
2021-10,75
2021-11,68
2021-12,80
2022-01,82
2022-02,78
2022-03,82
2022-04,92
2022-05,84
2022-06,83
2022-07,80
2022-08,89
2022-09,86
2022-10,85
2022-11,84
2022-12,71
2023-01,87
2023-02,91
2023-03,93
2023-04,78
2023-05,81
2023-06,81
2023-07,74
2023-08,84
2023-09,85
2023-10,88
2023-11,80
2023-12,69
2024-01,83
2024-02,87
2024-03,82
2024-04,88
2024-05,79
2024-06,79
2024-07,72
2024-08,78
2024-09,83
2024-10,88
2024-11,73
2024-12,88
2025-01,88
2025-02,92
2025-03,89
2025-04,87
2025-05,80
