Categoría: Todas las categorías

Mes,health: (Delaware)
2015-01,75
2015-02,74
2015-03,72
2015-04,80
2015-05,69
2015-06,68
2015-07,60
2015-08,63
2015-09,74
2015-10,79
2015-11,74
2015-12,64
2016-01,70
2016-02,65
2016-03,68
2016-04,66
2016-05,61
2016-06,62
2016-07,53
2016-08,59
2016-09,68
2016-10,66
2016-11,67
2016-12,56
2017-01,81
2017-02,69
2017-03,71
2017-04,67
2017-05,67
2017-06,59
2017-07,63
2017-08,64
2017-09,66
2017-10,68
2017-11,70
2017-12,60
2018-01,69
2018-02,73
2018-03,68
2018-04,76
2018-05,66
2018-06,63
2018-07,61
2018-08,64
2018-09,67
2018-10,71
2018-11,73
2018-12,60
2019-01,71
2019-02,70
2019-03,74
2019-04,68
2019-05,71
2019-06,65
2019-07,68
2019-08,65
2019-09,71
2019-10,75
2019-11,75
2019-12,59
2020-01,71
2020-02,73
2020-03,90
2020-04,72
2020-05,58
2020-06,62
2020-07,69
2020-08,62
2020-09,72
2020-10,73
2020-11,69
2020-12,66
2021-01,83
2021-02,85
2021-03,79
2021-04,75
2021-05,72
2021-06,72
2021-07,67
2021-08,78
2021-09,79
2021-10,82
2021-11,80
2021-12,79
2022-01,87
2022-02,84
2022-03,84
2022-04,80
2022-05,77
2022-06,75
2022-07,71
2022-08,72
2022-09,84
2022-10,78
2022-11,76
2022-12,73
2023-01,82
2023-02,87
2023-03,87
2023-04,79
2023-05,78
2023-06,79
2023-07,77
2023-08,76
2023-09,79
2023-10,85
2023-11,77
2023-12,74
2024-01,83
2024-02,92
2024-03,84
2024-04,85
2024-05,84
2024-06,76
2024-07,74
2024-08,76
2024-09,83
2024-10,87
2024-11,79
2024-12,80
2025-01,94
2025-02,100
2025-03,97
2025-04,92
2025-05,94
