Categoría: Todas las categorías

Mes,health: (Florida)
2015-01,64
2015-02,65
2015-03,61
2015-04,63
2015-05,59
2015-06,65
2015-07,60
2015-08,62
2015-09,61
2015-10,63
2015-11,61
2015-12,56
2016-01,60
2016-02,62
2016-03,60
2016-04,60
2016-05,57
2016-06,61
2016-07,56
2016-08,60
2016-09,62
2016-10,58
2016-11,58
2016-12,57
2017-01,63
2017-02,60
2017-03,66
2017-04,58
2017-05,61
2017-06,59
2017-07,61
2017-08,64
2017-09,51
2017-10,64
2017-11,65
2017-12,56
2018-01,65
2018-02,66
2018-03,60
2018-04,62
2018-05,60
2018-06,64
2018-07,65
2018-08,68
2018-09,63
2018-10,68
2018-11,64
2018-12,57
2019-01,71
2019-02,66
2019-03,65
2019-04,67
2019-05,67
2019-06,65
2019-07,67
2019-08,66
2019-09,63
2019-10,74
2019-11,66
2019-12,61
2020-01,72
2020-02,68
2020-03,88
2020-04,75
2020-05,66
2020-06,74
2020-07,80
2020-08,73
2020-09,73
2020-10,75
2020-11,68
2020-12,72
2021-01,100
2021-02,86
2021-03,81
2021-04,75
2021-05,68
2021-06,73
2021-07,72
2021-08,84
2021-09,81
2021-10,80
2021-11,78
2021-12,73
2022-01,86
2022-02,81
2022-03,80
2022-04,81
2022-05,78
2022-06,80
2022-07,76
2022-08,84
2022-09,82
2022-10,80
2022-11,77
2022-12,72
2023-01,88
2023-02,85
2023-03,80
2023-04,81
2023-05,85
2023-06,80
2023-07,81
2023-08,85
2023-09,83
2023-10,85
2023-11,83
2023-12,74
2024-01,86
2024-02,86
2024-03,79
2024-04,88
2024-05,82
2024-06,84
2024-07,86
2024-08,85
2024-09,83
2024-10,81
2024-11,84
2024-12,81
2025-01,89
2025-02,94
2025-03,88
2025-04,91
2025-05,85
