Categoría: Todas las categorías

Mes,health: (Georgia)
2015-01,61
2015-02,58
2015-03,58
2015-04,58
2015-05,54
2015-06,56
2015-07,55
2015-08,57
2015-09,59
2015-10,58
2015-11,54
2015-12,50
2016-01,59
2016-02,59
2016-03,58
2016-04,52
2016-05,51
2016-06,54
2016-07,50
2016-08,59
2016-09,56
2016-10,54
2016-11,54
2016-12,50
2017-01,58
2017-02,55
2017-03,60
2017-04,52
2017-05,55
2017-06,55
2017-07,55
2017-08,62
2017-09,56
2017-10,58
2017-11,56
2017-12,49
2018-01,61
2018-02,59
2018-03,57
2018-04,55
2018-05,56
2018-06,56
2018-07,58
2018-08,62
2018-09,55
2018-10,61
2018-11,55
2018-12,51
2019-01,61
2019-02,59
2019-03,54
2019-04,57
2019-05,57
2019-06,60
2019-07,61
2019-08,61
2019-09,57
2019-10,64
2019-11,57
2019-12,51
2020-01,63
2020-02,61
2020-03,80
2020-04,77
2020-05,70
2020-06,64
2020-07,74
2020-08,65
2020-09,66
2020-10,63
2020-11,60
2020-12,64
2021-01,100
2021-02,84
2021-03,74
2021-04,61
2021-05,55
2021-06,58
2021-07,63
2021-08,75
2021-09,70
2021-10,66
2021-11,64
2021-12,61
2022-01,73
2022-02,69
2022-03,68
2022-04,63
2022-05,62
2022-06,66
2022-07,63
2022-08,67
2022-09,67
2022-10,66
2022-11,63
2022-12,61
2023-01,70
2023-02,71
2023-03,68
2023-04,67
2023-05,70
2023-06,70
2023-07,65
2023-08,74
2023-09,70
2023-10,72
2023-11,69
2023-12,61
2024-01,74
2024-02,75
2024-03,71
2024-04,71
2024-05,66
2024-06,70
2024-07,70
2024-08,75
2024-09,71
2024-10,74
2024-11,70
2024-12,69
2025-01,80
2025-02,79
2025-03,73
2025-04,74
2025-05,71
