Categoría: Todas las categorías

Mes,health: (Iowa)
2015-01,67
2015-02,61
2015-03,59
2015-04,63
2015-05,52
2015-06,51
2015-07,51
2015-08,51
2015-09,62
2015-10,62
2015-11,58
2015-12,51
2016-01,59
2016-02,59
2016-03,59
2016-04,59
2016-05,52
2016-06,51
2016-07,47
2016-08,57
2016-09,57
2016-10,56
2016-11,55
2016-12,47
2017-01,60
2017-02,60
2017-03,58
2017-04,58
2017-05,57
2017-06,54
2017-07,56
2017-08,58
2017-09,56
2017-10,60
2017-11,60
2017-12,52
2018-01,63
2018-02,57
2018-03,56
2018-04,61
2018-05,53
2018-06,54
2018-07,55
2018-08,58
2018-09,56
2018-10,64
2018-11,57
2018-12,57
2019-01,59
2019-02,60
2019-03,59
2019-04,62
2019-05,58
2019-06,56
2019-07,55
2019-08,59
2019-09,59
2019-10,63
2019-11,58
2019-12,55
2020-01,64
2020-02,65
2020-03,100
2020-04,81
2020-05,63
2020-06,64
2020-07,69
2020-08,67
2020-09,73
2020-10,73
2020-11,70
2020-12,62
2021-01,84
2021-02,87
2021-03,90
2021-04,75
2021-05,66
2021-06,61
2021-07,62
2021-08,68
2021-09,73
2021-10,68
2021-11,70
2021-12,63
2022-01,76
2022-02,72
2022-03,69
2022-04,68
2022-05,67
2022-06,62
2022-07,59
2022-08,64
2022-09,65
2022-10,68
2022-11,67
2022-12,62
2023-01,70
2023-02,70
2023-03,72
2023-04,67
2023-05,70
2023-06,68
2023-07,61
2023-08,68
2023-09,65
2023-10,72
2023-11,68
2023-12,62
2024-01,70
2024-02,77
2024-03,68
2024-04,71
2024-05,66
2024-06,65
2024-07,65
2024-08,68
2024-09,73
2024-10,73
2024-11,74
2024-12,69
2025-01,78
2025-02,81
2025-03,76
2025-04,76
2025-05,77
