Categoría: Todas las categorías

Mes,health: (Idaho)
2015-01,71
2015-02,75
2015-03,65
2015-04,62
2015-05,59
2015-06,61
2015-07,61
2015-08,62
2015-09,63
2015-10,64
2015-11,60
2015-12,63
2016-01,71
2016-02,67
2016-03,63
2016-04,60
2016-05,54
2016-06,56
2016-07,53
2016-08,62
2016-09,61
2016-10,63
2016-11,62
2016-12,62
2017-01,70
2017-02,63
2017-03,71
2017-04,62
2017-05,62
2017-06,60
2017-07,59
2017-08,66
2017-09,63
2017-10,71
2017-11,72
2017-12,67
2018-01,73
2018-02,69
2018-03,71
2018-04,68
2018-05,63
2018-06,62
2018-07,60
2018-08,69
2018-09,62
2018-10,75
2018-11,71
2018-12,61
2019-01,74
2019-02,67
2019-03,68
2019-04,72
2019-05,63
2019-06,64
2019-07,71
2019-08,67
2019-09,68
2019-10,72
2019-11,72
2019-12,68
2020-01,77
2020-02,75
2020-03,91
2020-04,78
2020-05,69
2020-06,80
2020-07,100
2020-08,90
2020-09,88
2020-10,92
2020-11,83
2020-12,88
2021-01,92
2021-02,96
2021-03,91
2021-04,85
2021-05,74
2021-06,72
2021-07,71
2021-08,89
2021-09,99
2021-10,89
2021-11,85
2021-12,81
2022-01,100
2022-02,83
2022-03,79
2022-04,75
2022-05,73
2022-06,73
2022-07,71
2022-08,75
2022-09,76
2022-10,76
2022-11,73
2022-12,70
2023-01,80
2023-02,82
2023-03,82
2023-04,78
2023-05,76
2023-06,76
2023-07,73
2023-08,79
2023-09,81
2023-10,83
2023-11,79
2023-12,73
2024-01,85
2024-02,88
2024-03,81
2024-04,85
2024-05,84
2024-06,78
2024-07,72
2024-08,80
2024-09,81
2024-10,82
2024-11,81
2024-12,78
2025-01,91
2025-02,84
2025-03,84
2025-04,82
2025-05,75
