Categoría: Todas las categorías

Mes,health: (Kansas)
2015-01,49
2015-02,52
2015-03,48
2015-04,45
2015-05,42
2015-06,43
2015-07,47
2015-08,48
2015-09,51
2015-10,45
2015-11,35
2015-12,22
2016-01,48
2016-02,55
2016-03,47
2016-04,48
2016-05,51
2016-06,50
2016-07,50
2016-08,50
2016-09,51
2016-10,48
2016-11,48
2016-12,47
2017-01,59
2017-02,56
2017-03,56
2017-04,57
2017-05,56
2017-06,50
2017-07,56
2017-08,48
2017-09,47
2017-10,50
2017-11,55
2017-12,52
2018-01,62
2018-02,57
2018-03,54
2018-04,58
2018-05,55
2018-06,54
2018-07,57
2018-08,58
2018-09,54
2018-10,60
2018-11,53
2018-12,51
2019-01,63
2019-02,62
2019-03,58
2019-04,61
2019-05,59
2019-06,59
2019-07,62
2019-08,62
2019-09,62
2019-10,64
2019-11,60
2019-12,55
2020-01,65
2020-02,60
2020-03,85
2020-04,75
2020-05,64
2020-06,77
2020-07,78
2020-08,77
2020-09,76
2020-10,75
2020-11,79
2020-12,70
2021-01,91
2021-02,100
2021-03,91
2021-04,74
2021-05,69
2021-06,69
2021-07,71
2021-08,80
2021-09,80
2021-10,72
2021-11,72
2021-12,73
2022-01,85
2022-02,77
2022-03,71
2022-04,72
2022-05,70
2022-06,68
2022-07,70
2022-08,76
2022-09,71
2022-10,71
2022-11,64
2022-12,62
2023-01,73
2023-02,67
2023-03,69
2023-04,69
2023-05,69
2023-06,67
2023-07,65
2023-08,71
2023-09,72
2023-10,71
2023-11,71
2023-12,64
2024-01,74
2024-02,72
2024-03,67
2024-04,72
2024-05,67
2024-06,67
2024-07,70
2024-08,70
2024-09,69
2024-10,77
2024-11,70
2024-12,79
2025-01,76
2025-02,78
2025-03,73
2025-04,73
2025-05,73
