Categoría: Todas las categorías

Mes,health: (Luisiana)
2015-01,66
2015-02,61
2015-03,62
2015-04,62
2015-05,57
2015-06,60
2015-07,61
2015-08,64
2015-09,64
2015-10,64
2015-11,59
2015-12,58
2016-01,65
2016-02,62
2016-03,59
2016-04,61
2016-05,57
2016-06,58
2016-07,57
2016-08,63
2016-09,61
2016-10,59
2016-11,58
2016-12,51
2017-01,65
2017-02,59
2017-03,65
2017-04,60
2017-05,61
2017-06,60
2017-07,63
2017-08,61
2017-09,58
2017-10,62
2017-11,62
2017-12,52
2018-01,64
2018-02,60
2018-03,63
2018-04,66
2018-05,59
2018-06,61
2018-07,63
2018-08,63
2018-09,60
2018-10,65
2018-11,59
2018-12,53
2019-01,65
2019-02,65
2019-03,61
2019-04,66
2019-05,62
2019-06,61
2019-07,62
2019-08,65
2019-09,66
2019-10,69
2019-11,60
2019-12,56
2020-01,66
2020-02,68
2020-03,100
2020-04,80
2020-05,62
2020-06,68
2020-07,68
2020-08,62
2020-09,66
2020-10,65
2020-11,62
2020-12,60
2021-01,73
2021-02,69
2021-03,70
2021-04,63
2021-05,60
2021-06,66
2021-07,65
2021-08,73
2021-09,69
2021-10,69
2021-11,65
2021-12,66
2022-01,75
2022-02,70
2022-03,70
2022-04,68
2022-05,69
2022-06,72
2022-07,65
2022-08,75
2022-09,70
2022-10,75
2022-11,71
2022-12,62
2023-01,77
2023-02,75
2023-03,77
2023-04,73
2023-05,77
2023-06,70
2023-07,70
2023-08,76
2023-09,75
2023-10,77
2023-11,70
2023-12,64
2024-01,77
2024-02,76
2024-03,73
2024-04,78
2024-05,72
2024-06,73
2024-07,75
2024-08,76
2024-09,74
2024-10,81
2024-11,73
2024-12,69
2025-01,81
2025-02,83
2025-03,80
2025-04,78
2025-05,75
