Categoría: Todas las categorías

Mes,health: (Maryland)
2015-01,76
2015-02,80
2015-03,77
2015-04,77
2015-05,66
2015-06,72
2015-07,71
2015-08,69
2015-09,76
2015-10,79
2015-11,80
2015-12,75
2016-01,71
2016-02,74
2016-03,74
2016-04,73
2016-05,65
2016-06,64
2016-07,64
2016-08,69
2016-09,73
2016-10,67
2016-11,74
2016-12,67
2017-01,77
2017-02,76
2017-03,79
2017-04,72
2017-05,73
2017-06,67
2017-07,69
2017-08,70
2017-09,71
2017-10,74
2017-11,76
2017-12,69
2018-01,75
2018-02,72
2018-03,69
2018-04,68
2018-05,66
2018-06,69
2018-07,66
2018-08,70
2018-09,69
2018-10,74
2018-11,71
2018-12,64
2019-01,72
2019-02,72
2019-03,70
2019-04,71
2019-05,67
2019-06,66
2019-07,69
2019-08,69
2019-09,72
2019-10,76
2019-11,72
2019-12,65
2020-01,75
2020-02,77
2020-03,98
2020-04,86
2020-05,72
2020-06,72
2020-07,80
2020-08,77
2020-09,74
2020-10,80
2020-11,76
2020-12,75
2021-01,92
2021-02,93
2021-03,87
2021-04,80
2021-05,72
2021-06,73
2021-07,70
2021-08,77
2021-09,82
2021-10,81
2021-11,82
2021-12,92
2022-01,93
2022-02,91
2022-03,83
2022-04,84
2022-05,82
2022-06,77
2022-07,76
2022-08,77
2022-09,82
2022-10,82
2022-11,82
2022-12,73
2023-01,83
2023-02,85
2023-03,79
2023-04,81
2023-05,80
2023-06,83
2023-07,79
2023-08,81
2023-09,84
2023-10,88
2023-11,83
2023-12,77
2024-01,89
2024-02,95
2024-03,89
2024-04,90
2024-05,80
2024-06,80
2024-07,82
2024-08,83
2024-09,90
2024-10,94
2024-11,86
2024-12,89
2025-01,95
2025-02,100
2025-03,100
2025-04,93
2025-05,89
