Categoría: Todas las categorías

Mes,health: (Maine)
2015-01,76
2015-02,74
2015-03,72
2015-04,70
2015-05,73
2015-06,67
2015-07,63
2015-08,62
2015-09,64
2015-10,71
2015-11,68
2015-12,65
2016-01,69
2016-02,65
2016-03,66
2016-04,65
2016-05,62
2016-06,63
2016-07,58
2016-08,59
2016-09,66
2016-10,59
2016-11,65
2016-12,57
2017-01,67
2017-02,61
2017-03,70
2017-04,66
2017-05,65
2017-06,57
2017-07,62
2017-08,61
2017-09,61
2017-10,63
2017-11,66
2017-12,61
2018-01,68
2018-02,69
2018-03,64
2018-04,72
2018-05,62
2018-06,61
2018-07,65
2018-08,59
2018-09,60
2018-10,72
2018-11,64
2018-12,64
2019-01,75
2019-02,72
2019-03,73
2019-04,71
2019-05,70
2019-06,62
2019-07,65
2019-08,62
2019-09,64
2019-10,80
2019-11,73
2019-12,67
2020-01,79
2020-02,79
2020-03,82
2020-04,67
2020-05,60
2020-06,70
2020-07,72
2020-08,68
2020-09,78
2020-10,78
2020-11,72
2020-12,70
2021-01,83
2021-02,91
2021-03,100
2021-04,98
2021-05,70
2021-06,69
2021-07,62
2021-08,76
2021-09,85
2021-10,78
2021-11,87
2021-12,87
2022-01,90
2022-02,81
2022-03,87
2022-04,82
2022-05,80
2022-06,76
2022-07,70
2022-08,75
2022-09,80
2022-10,82
2022-11,83
2022-12,77
2023-01,87
2023-02,86
2023-03,90
2023-04,85
2023-05,84
2023-06,76
2023-07,69
2023-08,76
2023-09,81
2023-10,85
2023-11,83
2023-12,74
2024-01,87
2024-02,89
2024-03,85
2024-04,85
2024-05,79
2024-06,77
2024-07,75
2024-08,80
2024-09,84
2024-10,90
2024-11,83
2024-12,85
2025-01,94
2025-02,96
2025-03,91
2025-04,89
2025-05,89
