Categoría: Todas las categorías

Mes,health: (Míchigan)
2015-01,66
2015-02,66
2015-03,66
2015-04,64
2015-05,59
2015-06,62
2015-07,60
2015-08,59
2015-09,60
2015-10,63
2015-11,61
2015-12,55
2016-01,63
2016-02,62
2016-03,61
2016-04,65
2016-05,57
2016-06,54
2016-07,52
2016-08,59
2016-09,60
2016-10,59
2016-11,59
2016-12,52
2017-01,64
2017-02,63
2017-03,64
2017-04,59
2017-05,62
2017-06,60
2017-07,59
2017-08,59
2017-09,61
2017-10,61
2017-11,63
2017-12,57
2018-01,68
2018-02,66
2018-03,64
2018-04,65
2018-05,61
2018-06,59
2018-07,60
2018-08,64
2018-09,62
2018-10,65
2018-11,65
2018-12,56
2019-01,66
2019-02,68
2019-03,65
2019-04,68
2019-05,65
2019-06,62
2019-07,61
2019-08,63
2019-09,64
2019-10,68
2019-11,62
2019-12,59
2020-01,72
2020-02,70
2020-03,79
2020-04,67
2020-05,59
2020-06,62
2020-07,69
2020-08,66
2020-09,70
2020-10,77
2020-11,71
2020-12,67
2021-01,100
2021-02,85
2021-03,91
2021-04,82
2021-05,63
2021-06,63
2021-07,59
2021-08,69
2021-09,77
2021-10,74
2021-11,77
2021-12,72
2022-01,85
2022-02,73
2022-03,73
2022-04,72
2022-05,67
2022-06,68
2022-07,64
2022-08,71
2022-09,70
2022-10,73
2022-11,71
2022-12,67
2023-01,81
2023-02,77
2023-03,74
2023-04,73
2023-05,73
2023-06,71
2023-07,68
2023-08,75
2023-09,73
2023-10,77
2023-11,81
2023-12,70
2024-01,85
2024-02,82
2024-03,76
2024-04,77
2024-05,75
2024-06,71
2024-07,74
2024-08,75
2024-09,78
2024-10,82
2024-11,76
2024-12,77
2025-01,87
2025-02,89
2025-03,85
2025-04,81
2025-05,79
