Categoría: Todas las categorías

Mes,health: (Minnesota)
2015-01,61
2015-02,61
2015-03,59
2015-04,64
2015-05,57
2015-06,61
2015-07,62
2015-08,64
2015-09,64
2015-10,69
2015-11,65
2015-12,61
2016-01,62
2016-02,65
2016-03,65
2016-04,58
2016-05,58
2016-06,56
2016-07,55
2016-08,62
2016-09,61
2016-10,64
2016-11,63
2016-12,56
2017-01,65
2017-02,65
2017-03,69
2017-04,65
2017-05,66
2017-06,63
2017-07,61
2017-08,65
2017-09,62
2017-10,66
2017-11,65
2017-12,55
2018-01,65
2018-02,67
2018-03,64
2018-04,68
2018-05,61
2018-06,62
2018-07,61
2018-08,65
2018-09,61
2018-10,66
2018-11,64
2018-12,57
2019-01,70
2019-02,64
2019-03,60
2019-04,62
2019-05,63
2019-06,60
2019-07,56
2019-08,59
2019-09,61
2019-10,66
2019-11,59
2019-12,57
2020-01,64
2020-02,67
2020-03,100
2020-04,84
2020-05,70
2020-06,71
2020-07,77
2020-08,76
2020-09,76
2020-10,83
2020-11,80
2020-12,73
2021-01,79
2021-02,85
2021-03,90
2021-04,77
2021-05,69
2021-06,70
2021-07,65
2021-08,72
2021-09,78
2021-10,76
2021-11,74
2021-12,73
2022-01,85
2022-02,70
2022-03,73
2022-04,68
2022-05,67
2022-06,70
2022-07,63
2022-08,67
2022-09,68
2022-10,69
2022-11,69
2022-12,64
2023-01,70
2023-02,68
2023-03,72
2023-04,71
2023-05,70
2023-06,69
2023-07,63
2023-08,69
2023-09,72
2023-10,75
2023-11,79
2023-12,64
2024-01,77
2024-02,78
2024-03,70
2024-04,77
2024-05,67
2024-06,64
2024-07,65
2024-08,64
2024-09,72
2024-10,76
2024-11,70
2024-12,74
2025-01,78
2025-02,78
2025-03,74
2025-04,75
2025-05,69
