Categoría: Todas las categorías

Mes,health: (Misuri)
2015-01,70
2015-02,71
2015-03,69
2015-04,66
2015-05,59
2015-06,69
2015-07,67
2015-08,67
2015-09,66
2015-10,68
2015-11,65
2015-12,59
2016-01,70
2016-02,69
2016-03,65
2016-04,65
2016-05,62
2016-06,65
2016-07,57
2016-08,69
2016-09,64
2016-10,65
2016-11,63
2016-12,59
2017-01,69
2017-02,70
2017-03,71
2017-04,68
2017-05,65
2017-06,67
2017-07,66
2017-08,67
2017-09,64
2017-10,70
2017-11,69
2017-12,62
2018-01,73
2018-02,73
2018-03,65
2018-04,68
2018-05,65
2018-06,64
2018-07,67
2018-08,72
2018-09,67
2018-10,71
2018-11,63
2018-12,60
2019-01,74
2019-02,71
2019-03,67
2019-04,72
2019-05,68
2019-06,68
2019-07,72
2019-08,74
2019-09,69
2019-10,75
2019-11,70
2019-12,63
2020-01,73
2020-02,75
2020-03,98
2020-04,77
2020-05,73
2020-06,79
2020-07,88
2020-08,91
2020-09,87
2020-10,87
2020-11,83
2020-12,78
2021-01,100
2021-02,98
2021-03,92
2021-04,81
2021-05,72
2021-06,74
2021-07,79
2021-08,87
2021-09,86
2021-10,81
2021-11,80
2021-12,80
2022-01,91
2022-02,79
2022-03,81
2022-04,77
2022-05,79
2022-06,75
2022-07,74
2022-08,83
2022-09,80
2022-10,81
2022-11,78
2022-12,73
2023-01,85
2023-02,84
2023-03,83
2023-04,80
2023-05,78
2023-06,80
2023-07,80
2023-08,83
2023-09,82
2023-10,83
2023-11,80
2023-12,74
2024-01,86
2024-02,88
2024-03,83
2024-04,83
2024-05,76
2024-06,78
2024-07,77
2024-08,87
2024-09,89
2024-10,86
2024-11,79
2024-12,79
2025-01,95
2025-02,98
2025-03,91
2025-04,90
2025-05,84
