Category: All categories

Month,health: (Northern Mariana Islands)
2015-01,49
2015-02,51
2015-03,52
2015-04,39
2015-05,42
2015-06,44
2015-07,52
2015-08,50
2015-09,39
2015-10,37
2015-11,31
2015-12,30
2016-01,41
2016-02,40
2016-03,47
2016-04,48
2016-05,40
2016-06,46
2016-07,37
2016-08,47
2016-09,43
2016-10,36
2016-11,30
2016-12,40
2017-01,51
2017-02,42
2017-03,43
2017-04,36
2017-05,35
2017-06,44
2017-07,54
2017-08,51
2017-09,46
2017-10,24
2017-11,57
2017-12,34
2018-01,53
2018-02,45
2018-03,49
2018-04,50
2018-05,48
2018-06,40
2018-07,42
2018-08,36
2018-09,35
2018-10,55
2018-11,0
2018-12,28
2019-01,51
2019-02,41
2019-03,54
2019-04,48
2019-05,52
2019-06,48
2019-07,45
2019-08,47
2019-09,58
2019-10,36
2019-11,35
2019-12,25
2020-01,51
2020-02,51
2020-03,68
2020-04,66
2020-05,52
2020-06,39
2020-07,42
2020-08,52
2020-09,51
2020-10,51
2020-11,43
2020-12,36
2021-01,54
2021-02,61
2021-03,52
2021-04,46
2021-05,73
2021-06,57
2021-07,49
2021-08,64
2021-09,61
2021-10,52
2021-11,64
2021-12,72
2022-01,60
2022-02,77
2022-03,84
2022-04,77
2022-05,81
2022-06,63
2022-07,69
2022-08,72
2022-09,69
2022-10,60
2022-11,76
2022-12,57
2023-01,68
2023-02,83
2023-03,67
2023-04,82
2023-05,75
2023-06,68
2023-07,60
2023-08,72
2023-09,59
2023-10,62
2023-11,74
2023-12,43
2024-01,100
2024-02,73
2024-03,66
2024-04,60
2024-05,73
2024-06,94
2024-07,66
2024-08,75
2024-09,49
2024-10,81
2024-11,61
2024-12,54
2025-01,70
2025-02,96
2025-03,67
2025-04,74
2025-05,70
