Categoría: Todas las categorías

Mes,health: (Misisipi)
2015-01,52
2015-02,48
2015-03,52
2015-04,54
2015-05,51
2015-06,55
2015-07,51
2015-08,56
2015-09,55
2015-10,55
2015-11,51
2015-12,45
2016-01,56
2016-02,53
2016-03,56
2016-04,56
2016-05,53
2016-06,52
2016-07,51
2016-08,58
2016-09,57
2016-10,55
2016-11,51
2016-12,47
2017-01,59
2017-02,56
2017-03,56
2017-04,55
2017-05,58
2017-06,54
2017-07,57
2017-08,60
2017-09,57
2017-10,58
2017-11,55
2017-12,49
2018-01,60
2018-02,55
2018-03,53
2018-04,56
2018-05,53
2018-06,55
2018-07,55
2018-08,62
2018-09,56
2018-10,60
2018-11,50
2018-12,46
2019-01,61
2019-02,55
2019-03,52
2019-04,60
2019-05,52
2019-06,55
2019-07,63
2019-08,61
2019-09,58
2019-10,58
2019-11,50
2019-12,48
2020-01,58
2020-02,57
2020-03,100
2020-04,79
2020-05,70
2020-06,74
2020-07,77
2020-08,68
2020-09,64
2020-10,65
2020-11,59
2020-12,64
2021-01,87
2021-02,71
2021-03,66
2021-04,61
2021-05,55
2021-06,57
2021-07,64
2021-08,75
2021-09,65
2021-10,63
2021-11,62
2021-12,58
2022-01,78
2022-02,66
2022-03,63
2022-04,60
2022-05,60
2022-06,66
2022-07,65
2022-08,69
2022-09,66
2022-10,62
2022-11,59
2022-12,57
2023-01,67
2023-02,64
2023-03,61
2023-04,63
2023-05,67
2023-06,64
2023-07,65
2023-08,71
2023-09,66
2023-10,66
2023-11,62
2023-12,56
2024-01,67
2024-02,66
2024-03,62
2024-04,66
2024-05,63
2024-06,65
2024-07,66
2024-08,69
2024-09,64
2024-10,65
2024-11,60
2024-12,59
2025-01,69
2025-02,67
2025-03,64
2025-04,66
2025-05,64
