Categoría: Todas las categorías

Mes,health: (Montana)
2015-01,63
2015-02,70
2015-03,64
2015-04,60
2015-05,56
2015-06,59
2015-07,56
2015-08,57
2015-09,62
2015-10,62
2015-11,62
2015-12,61
2016-01,63
2016-02,63
2016-03,61
2016-04,61
2016-05,56
2016-06,59
2016-07,52
2016-08,57
2016-09,61
2016-10,63
2016-11,63
2016-12,57
2017-01,66
2017-02,59
2017-03,62
2017-04,59
2017-05,62
2017-06,57
2017-07,62
2017-08,57
2017-09,60
2017-10,60
2017-11,61
2017-12,59
2018-01,62
2018-02,65
2018-03,62
2018-04,66
2018-05,61
2018-06,62
2018-07,58
2018-08,73
2018-09,63
2018-10,64
2018-11,60
2018-12,56
2019-01,70
2019-02,73
2019-03,62
2019-04,68
2019-05,62
2019-06,66
2019-07,61
2019-08,63
2019-09,60
2019-10,65
2019-11,67
2019-12,59
2020-01,65
2020-02,69
2020-03,100
2020-04,71
2020-05,60
2020-06,70
2020-07,82
2020-08,69
2020-09,79
2020-10,98
2020-11,78
2020-12,74
2021-01,92
2021-02,89
2021-03,91
2021-04,73
2021-05,69
2021-06,67
2021-07,66
2021-08,79
2021-09,92
2021-10,89
2021-11,85
2021-12,78
2022-01,100
2022-02,88
2022-03,87
2022-04,78
2022-05,77
2022-06,74
2022-07,70
2022-08,78
2022-09,80
2022-10,84
2022-11,77
2022-12,73
2023-01,88
2023-02,91
2023-03,92
2023-04,78
2023-05,83
2023-06,76
2023-07,68
2023-08,81
2023-09,76
2023-10,89
2023-11,84
2023-12,75
2024-01,90
2024-02,89
2024-03,82
2024-04,85
2024-05,76
2024-06,74
2024-07,73
2024-08,79
2024-09,81
2024-10,83
2024-11,76
2024-12,77
2025-01,92
2025-02,87
2025-03,84
2025-04,84
2025-05,86
