Categoría: Todas las categorías

Mes,health: (Dakota del Norte)
2015-01,48
2015-02,47
2015-03,45
2015-04,47
2015-05,42
2015-06,47
2015-07,48
2015-08,47
2015-09,49
2015-10,47
2015-11,45
2015-12,44
2016-01,45
2016-02,44
2016-03,44
2016-04,44
2016-05,43
2016-06,45
2016-07,42
2016-08,43
2016-09,42
2016-10,41
2016-11,43
2016-12,38
2017-01,44
2017-02,46
2017-03,46
2017-04,43
2017-05,53
2017-06,46
2017-07,42
2017-08,45
2017-09,43
2017-10,45
2017-11,46
2017-12,43
2018-01,47
2018-02,44
2018-03,42
2018-04,42
2018-05,47
2018-06,39
2018-07,41
2018-08,49
2018-09,44
2018-10,47
2018-11,41
2018-12,37
2019-01,45
2019-02,44
2019-03,43
2019-04,44
2019-05,40
2019-06,42
2019-07,42
2019-08,41
2019-09,40
2019-10,43
2019-11,43
2019-12,40
2020-01,43
2020-02,42
2020-03,100
2020-04,84
2020-05,65
2020-06,53
2020-07,66
2020-08,61
2020-09,69
2020-10,68
2020-11,66
2020-12,56
2021-01,59
2021-02,62
2021-03,57
2021-04,50
2021-05,44
2021-06,43
2021-07,44
2021-08,53
2021-09,60
2021-10,52
2021-11,50
2021-12,50
2022-01,57
2022-02,45
2022-03,45
2022-04,43
2022-05,41
2022-06,42
2022-07,38
2022-08,43
2022-09,43
2022-10,44
2022-11,42
2022-12,36
2023-01,44
2023-02,40
2023-03,45
2023-04,41
2023-05,40
2023-06,41
2023-07,41
2023-08,45
2023-09,44
2023-10,44
2023-11,43
2023-12,39
2024-01,43
2024-02,45
2024-03,44
2024-04,42
2024-05,41
2024-06,41
2024-07,42
2024-08,41
2024-09,44
2024-10,45
2024-11,41
2024-12,41
2025-01,45
2025-02,44
2025-03,42
2025-04,44
2025-05,44
