Categoría: Todas las categorías

Mes,health: (Nuevo Hampshire)
2015-01,71
2015-02,73
2015-03,73
2015-04,74
2015-05,68
2015-06,68
2015-07,69
2015-08,72
2015-09,71
2015-10,79
2015-11,71
2015-12,68
2016-01,70
2016-02,71
2016-03,68
2016-04,63
2016-05,58
2016-06,64
2016-07,56
2016-08,60
2016-09,70
2016-10,61
2016-11,73
2016-12,55
2017-01,73
2017-02,69
2017-03,76
2017-04,66
2017-05,66
2017-06,63
2017-07,58
2017-08,62
2017-09,65
2017-10,67
2017-11,68
2017-12,60
2018-01,75
2018-02,73
2018-03,65
2018-04,71
2018-05,74
2018-06,63
2018-07,62
2018-08,65
2018-09,58
2018-10,67
2018-11,64
2018-12,58
2019-01,71
2019-02,69
2019-03,69
2019-04,68
2019-05,66
2019-06,59
2019-07,67
2019-08,65
2019-09,70
2019-10,74
2019-11,66
2019-12,64
2020-01,76
2020-02,77
2020-03,85
2020-04,68
2020-05,64
2020-06,66
2020-07,67
2020-08,70
2020-09,76
2020-10,74
2020-11,66
2020-12,63
2021-01,78
2021-02,75
2021-03,79
2021-04,67
2021-05,66
2021-06,66
2021-07,64
2021-08,68
2021-09,78
2021-10,73
2021-11,76
2021-12,71
2022-01,85
2022-02,84
2022-03,81
2022-04,84
2022-05,77
2022-06,76
2022-07,69
2022-08,75
2022-09,80
2022-10,78
2022-11,79
2022-12,73
2023-01,85
2023-02,85
2023-03,85
2023-04,80
2023-05,78
2023-06,74
2023-07,69
2023-08,75
2023-09,82
2023-10,88
2023-11,81
2023-12,71
2024-01,88
2024-02,85
2024-03,85
2024-04,80
2024-05,83
2024-06,72
2024-07,71
2024-08,78
2024-09,87
2024-10,88
2024-11,85
2024-12,79
2025-01,100
2025-02,94
2025-03,93
2025-04,89
2025-05,85
