Categoría: Todas las categorías

Mes,health: (Nueva Jersey)
2015-01,66
2015-02,70
2015-03,65
2015-04,69
2015-05,62
2015-06,64
2015-07,62
2015-08,61
2015-09,60
2015-10,65
2015-11,66
2015-12,61
2016-01,64
2016-02,67
2016-03,65
2016-04,64
2016-05,61
2016-06,56
2016-07,53
2016-08,58
2016-09,62
2016-10,60
2016-11,59
2016-12,55
2017-01,67
2017-02,63
2017-03,67
2017-04,61
2017-05,61
2017-06,61
2017-07,59
2017-08,60
2017-09,59
2017-10,61
2017-11,64
2017-12,54
2018-01,67
2018-02,65
2018-03,62
2018-04,63
2018-05,60
2018-06,59
2018-07,59
2018-08,65
2018-09,62
2018-10,69
2018-11,60
2018-12,57
2019-01,69
2019-02,70
2019-03,67
2019-04,65
2019-05,61
2019-06,61
2019-07,64
2019-08,64
2019-09,65
2019-10,73
2019-11,64
2019-12,60
2020-01,71
2020-02,74
2020-03,83
2020-04,71
2020-05,64
2020-06,62
2020-07,69
2020-08,65
2020-09,70
2020-10,76
2020-11,65
2020-12,69
2021-01,96
2021-02,95
2021-03,87
2021-04,77
2021-05,67
2021-06,68
2021-07,65
2021-08,71
2021-09,74
2021-10,75
2021-11,76
2021-12,80
2022-01,88
2022-02,83
2022-03,83
2022-04,81
2022-05,78
2022-06,76
2022-07,77
2022-08,79
2022-09,79
2022-10,80
2022-11,77
2022-12,76
2023-01,80
2023-02,86
2023-03,85
2023-04,79
2023-05,78
2023-06,77
2023-07,78
2023-08,82
2023-09,82
2023-10,87
2023-11,82
2023-12,75
2024-01,93
2024-02,94
2024-03,86
2024-04,89
2024-05,82
2024-06,81
2024-07,81
2024-08,82
2024-09,83
2024-10,88
2024-11,87
2024-12,89
2025-01,98
2025-02,100
2025-03,95
2025-04,93
2025-05,89
