Categoría: Todas las categorías

Mes,health: (Nuevo México)
2015-01,70
2015-02,69
2015-03,65
2015-04,71
2015-05,62
2015-06,66
2015-07,61
2015-08,63
2015-09,64
2015-10,71
2015-11,70
2015-12,66
2016-01,67
2016-02,66
2016-03,68
2016-04,63
2016-05,58
2016-06,58
2016-07,56
2016-08,60
2016-09,58
2016-10,59
2016-11,57
2016-12,52
2017-01,62
2017-02,66
2017-03,61
2017-04,65
2017-05,56
2017-06,55
2017-07,54
2017-08,60
2017-09,56
2017-10,55
2017-11,58
2017-12,51
2018-01,60
2018-02,59
2018-03,55
2018-04,60
2018-05,55
2018-06,50
2018-07,52
2018-08,58
2018-09,57
2018-10,56
2018-11,52
2018-12,47
2019-01,66
2019-02,59
2019-03,54
2019-04,54
2019-05,53
2019-06,52
2019-07,60
2019-08,59
2019-09,60
2019-10,63
2019-11,60
2019-12,56
2020-01,65
2020-02,63
2020-03,100
2020-04,83
2020-05,77
2020-06,78
2020-07,86
2020-08,77
2020-09,75
2020-10,87
2020-11,88
2020-12,77
2021-01,86
2021-02,83
2021-03,83
2021-04,79
2021-05,70
2021-06,69
2021-07,67
2021-08,81
2021-09,80
2021-10,74
2021-11,79
2021-12,71
2022-01,93
2022-02,74
2022-03,77
2022-04,80
2022-05,76
2022-06,75
2022-07,71
2022-08,77
2022-09,73
2022-10,68
2022-11,64
2022-12,67
2023-01,72
2023-02,72
2023-03,70
2023-04,68
2023-05,70
2023-06,68
2023-07,66
2023-08,73
2023-09,69
2023-10,73
2023-11,71
2023-12,60
2024-01,74
2024-02,69
2024-03,67
2024-04,81
2024-05,71
2024-06,62
2024-07,68
2024-08,76
2024-09,74
2024-10,75
2024-11,71
2024-12,64
2025-01,82
2025-02,83
2025-03,74
2025-04,73
2025-05,75
