Categoría: Todas las categorías

Mes,health: (Nevada)
2015-01,90
2015-02,90
2015-03,78
2015-04,79
2015-05,71
2015-06,77
2015-07,66
2015-08,67
2015-09,68
2015-10,72
2015-11,74
2015-12,68
2016-01,74
2016-02,73
2016-03,75
2016-04,69
2016-05,68
2016-06,66
2016-07,60
2016-08,67
2016-09,65
2016-10,66
2016-11,64
2016-12,61
2017-01,71
2017-02,70
2017-03,73
2017-04,66
2017-05,73
2017-06,67
2017-07,70
2017-08,69
2017-09,65
2017-10,70
2017-11,74
2017-12,65
2018-01,75
2018-02,73
2018-03,75
2018-04,69
2018-05,69
2018-06,72
2018-07,68
2018-08,77
2018-09,67
2018-10,75
2018-11,70
2018-12,64
2019-01,77
2019-02,70
2019-03,71
2019-04,72
2019-05,71
2019-06,69
2019-07,73
2019-08,73
2019-09,73
2019-10,78
2019-11,74
2019-12,68
2020-01,78
2020-02,78
2020-03,92
2020-04,79
2020-05,73
2020-06,76
2020-07,80
2020-08,73
2020-09,71
2020-10,82
2020-11,73
2020-12,75
2021-01,91
2021-02,88
2021-03,83
2021-04,79
2021-05,76
2021-06,74
2021-07,72
2021-08,81
2021-09,83
2021-10,77
2021-11,79
2021-12,75
2022-01,100
2022-02,85
2022-03,84
2022-04,85
2022-05,88
2022-06,80
2022-07,80
2022-08,82
2022-09,80
2022-10,81
2022-11,81
2022-12,78
2023-01,90
2023-02,86
2023-03,85
2023-04,83
2023-05,87
2023-06,85
2023-07,79
2023-08,83
2023-09,85
2023-10,85
2023-11,82
2023-12,72
2024-01,89
2024-02,83
2024-03,90
2024-04,86
2024-05,81
2024-06,83
2024-07,83
2024-08,89
2024-09,85
2024-10,86
2024-11,82
2024-12,86
2025-01,91
2025-02,97
2025-03,91
2025-04,92
2025-05,90
