Categoría: Todas las categorías

Mes,health: (Nueva York)
2015-01,61
2015-02,64
2015-03,64
2015-04,63
2015-05,59
2015-06,57
2015-07,56
2015-08,58
2015-09,60
2015-10,64
2015-11,68
2015-12,62
2016-01,63
2016-02,70
2016-03,70
2016-04,66
2016-05,64
2016-06,63
2016-07,59
2016-08,64
2016-09,71
2016-10,67
2016-11,68
2016-12,64
2017-01,75
2017-02,71
2017-03,77
2017-04,75
2017-05,75
2017-06,70
2017-07,75
2017-08,67
2017-09,71
2017-10,78
2017-11,76
2017-12,74
2018-01,78
2018-02,79
2018-03,72
2018-04,73
2018-05,73
2018-06,69
2018-07,70
2018-08,72
2018-09,76
2018-10,76
2018-11,71
2018-12,70
2019-01,78
2019-02,82
2019-03,80
2019-04,76
2019-05,71
2019-06,71
2019-07,69
2019-08,73
2019-09,74
2019-10,76
2019-11,73
2019-12,64
2020-01,76
2020-02,77
2020-03,94
2020-04,80
2020-05,70
2020-06,67
2020-07,74
2020-08,72
2020-09,78
2020-10,86
2020-11,75
2020-12,78
2021-01,92
2021-02,90
2021-03,89
2021-04,79
2021-05,78
2021-06,77
2021-07,71
2021-08,72
2021-09,89
2021-10,100
2021-11,88
2021-12,98
2022-01,99
2022-02,92
2022-03,90
2022-04,81
2022-05,83
2022-06,80
2022-07,75
2022-08,75
2022-09,78
2022-10,77
2022-11,76
2022-12,72
2023-01,77
2023-02,80
2023-03,81
2023-04,73
2023-05,75
2023-06,71
2023-07,71
2023-08,75
2023-09,75
2023-10,75
2023-11,77
2023-12,72
2024-01,80
2024-02,83
2024-03,81
2024-04,83
2024-05,78
2024-06,75
2024-07,77
2024-08,81
2024-09,84
2024-10,84
2024-11,85
2024-12,87
2025-01,90
2025-02,92
2025-03,86
2025-04,88
2025-05,85
