Categoría: Todas las categorías

Mes,health: (Oklahoma)
2015-01,45
2015-02,44
2015-03,40
2015-04,41
2015-05,37
2015-06,42
2015-07,45
2015-08,49
2015-09,46
2015-10,49
2015-11,45
2015-12,37
2016-01,48
2016-02,50
2016-03,47
2016-04,45
2016-05,43
2016-06,44
2016-07,45
2016-08,52
2016-09,50
2016-10,47
2016-11,43
2016-12,41
2017-01,52
2017-02,49
2017-03,51
2017-04,46
2017-05,46
2017-06,48
2017-07,50
2017-08,48
2017-09,47
2017-10,51
2017-11,48
2017-12,43
2018-01,51
2018-02,48
2018-03,47
2018-04,48
2018-05,48
2018-06,54
2018-07,51
2018-08,53
2018-09,48
2018-10,51
2018-11,46
2018-12,43
2019-01,55
2019-02,51
2019-03,47
2019-04,49
2019-05,47
2019-06,47
2019-07,52
2019-08,53
2019-09,51
2019-10,55
2019-11,49
2019-12,45
2020-01,54
2020-02,53
2020-03,75
2020-04,66
2020-05,54
2020-06,66
2020-07,72
2020-08,62
2020-09,60
2020-10,63
2020-11,60
2020-12,59
2021-01,100
2021-02,69
2021-03,64
2021-04,57
2021-05,52
2021-06,54
2021-07,56
2021-08,66
2021-09,62
2021-10,58
2021-11,57
2021-12,57
2022-01,73
2022-02,57
2022-03,59
2022-04,61
2022-05,56
2022-06,58
2022-07,56
2022-08,63
2022-09,60
2022-10,60
2022-11,57
2022-12,54
2023-01,61
2023-02,60
2023-03,61
2023-04,59
2023-05,57
2023-06,57
2023-07,57
2023-08,64
2023-09,62
2023-10,62
2023-11,60
2023-12,55
2024-01,63
2024-02,66
2024-03,62
2024-04,63
2024-05,60
2024-06,58
2024-07,60
2024-08,64
2024-09,63
2024-10,64
2024-11,60
2024-12,58
2025-01,69
2025-02,70
2025-03,64
2025-04,67
2025-05,63
