Categoría: Todas las categorías

Mes,health: (Oregón)
2015-01,39
2015-02,42
2015-03,36
2015-04,38
2015-05,45
2015-06,59
2015-07,59
2015-08,60
2015-09,64
2015-10,69
2015-11,72
2015-12,67
2016-01,66
2016-02,74
2016-03,65
2016-04,64
2016-05,61
2016-06,63
2016-07,61
2016-08,66
2016-09,57
2016-10,66
2016-11,64
2016-12,57
2017-01,67
2017-02,66
2017-03,73
2017-04,66
2017-05,68
2017-06,64
2017-07,62
2017-08,63
2017-09,66
2017-10,72
2017-11,70
2017-12,71
2018-01,79
2018-02,73
2018-03,71
2018-04,74
2018-05,68
2018-06,68
2018-07,63
2018-08,64
2018-09,63
2018-10,69
2018-11,66
2018-12,60
2019-01,71
2019-02,67
2019-03,65
2019-04,70
2019-05,65
2019-06,58
2019-07,60
2019-08,63
2019-09,64
2019-10,71
2019-11,66
2019-12,62
2020-01,70
2020-02,74
2020-03,100
2020-04,80
2020-05,70
2020-06,72
2020-07,76
2020-08,69
2020-09,64
2020-10,77
2020-11,70
2020-12,70
2021-01,80
2021-02,88
2021-03,80
2021-04,73
2021-05,69
2021-06,66
2021-07,63
2021-08,76
2021-09,76
2021-10,75
2021-11,74
2021-12,70
2022-01,87
2022-02,76
2022-03,75
2022-04,72
2022-05,74
2022-06,71
2022-07,65
2022-08,71
2022-09,71
2022-10,74
2022-11,71
2022-12,66
2023-01,77
2023-02,76
2023-03,79
2023-04,74
2023-05,77
2023-06,76
2023-07,65
2023-08,70
2023-09,71
2023-10,78
2023-11,75
2023-12,68
2024-01,73
2024-02,83
2024-03,76
2024-04,78
2024-05,67
2024-06,70
2024-07,72
2024-08,69
2024-09,75
2024-10,78
2024-11,74
2024-12,77
2025-01,85
2025-02,83
2025-03,77
2025-04,77
2025-05,74
