Category: All categories

Month,health: (Puerto Rico)
2015-01,61
2015-02,62
2015-03,62
2015-04,64
2015-05,66
2015-06,60
2015-07,62
2015-08,60
2015-09,60
2015-10,60
2015-11,57
2015-12,52
2016-01,59
2016-02,62
2016-03,62
2016-04,65
2016-05,59
2016-06,61
2016-07,54
2016-08,63
2016-09,63
2016-10,60
2016-11,56
2016-12,62
2017-01,64
2017-02,69
2017-03,68
2017-04,59
2017-05,66
2017-06,65
2017-07,64
2017-08,73
2017-09,46
2017-10,73
2017-11,69
2017-12,55
2018-01,70
2018-02,70
2018-03,67
2018-04,66
2018-05,66
2018-06,66
2018-07,63
2018-08,75
2018-09,63
2018-10,69
2018-11,68
2018-12,61
2019-01,76
2019-02,78
2019-03,73
2019-04,74
2019-05,74
2019-06,65
2019-07,64
2019-08,73
2019-09,71
2019-10,73
2019-11,67
2019-12,60
2020-01,64
2020-02,78
2020-03,93
2020-04,72
2020-05,64
2020-06,70
2020-07,72
2020-08,71
2020-09,68
2020-10,68
2020-11,67
2020-12,69
2021-01,74
2021-02,79
2021-03,88
2021-04,81
2021-05,84
2021-06,73
2021-07,75
2021-08,78
2021-09,75
2021-10,74
2021-11,71
2021-12,78
2022-01,90
2022-02,80
2022-03,81
2022-04,80
2022-05,76
2022-06,81
2022-07,78
2022-08,84
2022-09,77
2022-10,81
2022-11,75
2022-12,74
2023-01,82
2023-02,81
2023-03,83
2023-04,71
2023-05,86
2023-06,85
2023-07,83
2023-08,89
2023-09,84
2023-10,86
2023-11,86
2023-12,77
2024-01,94
2024-02,95
2024-03,90
2024-04,95
2024-05,86
2024-06,92
2024-07,90
2024-08,100
2024-09,92
2024-10,96
2024-11,86
2024-12,93
2025-01,97
2025-02,95
2025-03,96
2025-04,93
2025-05,92
