Categoría: Todas las categorías

Mes,health: (Rhode Island)
2015-01,63
2015-02,70
2015-03,70
2015-04,69
2015-05,62
2015-06,65
2015-07,61
2015-08,61
2015-09,69
2015-10,67
2015-11,61
2015-12,57
2016-01,65
2016-02,65
2016-03,69
2016-04,63
2016-05,59
2016-06,61
2016-07,56
2016-08,61
2016-09,64
2016-10,59
2016-11,63
2016-12,59
2017-01,66
2017-02,66
2017-03,66
2017-04,63
2017-05,61
2017-06,60
2017-07,64
2017-08,59
2017-09,66
2017-10,63
2017-11,65
2017-12,58
2018-01,66
2018-02,64
2018-03,63
2018-04,65
2018-05,60
2018-06,66
2018-07,57
2018-08,62
2018-09,64
2018-10,63
2018-11,62
2018-12,66
2019-01,63
2019-02,71
2019-03,65
2019-04,72
2019-05,68
2019-06,57
2019-07,64
2019-08,59
2019-09,64
2019-10,68
2019-11,66
2019-12,59
2020-01,75
2020-02,79
2020-03,95
2020-04,89
2020-05,71
2020-06,69
2020-07,79
2020-08,76
2020-09,77
2020-10,82
2020-11,75
2020-12,70
2021-01,80
2021-02,85
2021-03,85
2021-04,73
2021-05,64
2021-06,65
2021-07,63
2021-08,68
2021-09,74
2021-10,72
2021-11,75
2021-12,83
2022-01,81
2022-02,74
2022-03,81
2022-04,73
2022-05,73
2022-06,67
2022-07,64
2022-08,70
2022-09,74
2022-10,71
2022-11,71
2022-12,64
2023-01,77
2023-02,78
2023-03,79
2023-04,76
2023-05,77
2023-06,69
2023-07,67
2023-08,72
2023-09,76
2023-10,78
2023-11,76
2023-12,66
2024-01,84
2024-02,87
2024-03,73
2024-04,78
2024-05,75
2024-06,67
2024-07,73
2024-08,79
2024-09,77
2024-10,83
2024-11,84
2024-12,81
2025-01,93
2025-02,100
2025-03,87
2025-04,96
2025-05,90
