Categoría: Todas las categorías

Mes,health: (Carolina del Sur)
2015-01,71
2015-02,73
2015-03,71
2015-04,69
2015-05,64
2015-06,66
2015-07,70
2015-08,68
2015-09,70
2015-10,69
2015-11,72
2015-12,67
2016-01,70
2016-02,72
2016-03,69
2016-04,68
2016-05,70
2016-06,66
2016-07,60
2016-08,71
2016-09,69
2016-10,64
2016-11,65
2016-12,59
2017-01,74
2017-02,70
2017-03,73
2017-04,66
2017-05,69
2017-06,67
2017-07,67
2017-08,70
2017-09,69
2017-10,73
2017-11,67
2017-12,61
2018-01,72
2018-02,75
2018-03,72
2018-04,73
2018-05,65
2018-06,67
2018-07,70
2018-08,76
2018-09,68
2018-10,75
2018-11,69
2018-12,64
2019-01,79
2019-02,80
2019-03,73
2019-04,74
2019-05,75
2019-06,71
2019-07,73
2019-08,78
2019-09,76
2019-10,78
2019-11,72
2019-12,70
2020-01,78
2020-02,80
2020-03,83
2020-04,70
2020-05,67
2020-06,77
2020-07,77
2020-08,77
2020-09,76
2020-10,84
2020-11,76
2020-12,76
2021-01,91
2021-02,94
2021-03,87
2021-04,82
2021-05,74
2021-06,75
2021-07,78
2021-08,87
2021-09,87
2021-10,86
2021-11,85
2021-12,83
2022-01,96
2022-02,91
2022-03,87
2022-04,84
2022-05,83
2022-06,83
2022-07,81
2022-08,88
2022-09,82
2022-10,85
2022-11,83
2022-12,77
2023-01,95
2023-02,90
2023-03,92
2023-04,86
2023-05,86
2023-06,86
2023-07,83
2023-08,89
2023-09,86
2023-10,93
2023-11,91
2023-12,79
2024-01,98
2024-02,94
2024-03,89
2024-04,91
2024-05,89
2024-06,89
2024-07,87
2024-08,90
2024-09,89
2024-10,91
2024-11,88
2024-12,87
2025-01,99
2025-02,99
2025-03,95
2025-04,99
2025-05,100
