Categoría: Todas las categorías

Mes,health: (Dakota del Sur)
2015-01,69
2015-02,68
2015-03,63
2015-04,69
2015-05,58
2015-06,64
2015-07,65
2015-08,62
2015-09,66
2015-10,70
2015-11,67
2015-12,62
2016-01,61
2016-02,67
2016-03,60
2016-04,63
2016-05,56
2016-06,57
2016-07,52
2016-08,58
2016-09,60
2016-10,60
2016-11,60
2016-12,53
2017-01,69
2017-02,62
2017-03,68
2017-04,58
2017-05,61
2017-06,59
2017-07,59
2017-08,58
2017-09,58
2017-10,62
2017-11,61
2017-12,55
2018-01,63
2018-02,67
2018-03,59
2018-04,57
2018-05,58
2018-06,55
2018-07,57
2018-08,68
2018-09,57
2018-10,67
2018-11,59
2018-12,56
2019-01,65
2019-02,67
2019-03,60
2019-04,62
2019-05,59
2019-06,57
2019-07,55
2019-08,56
2019-09,61
2019-10,64
2019-11,60
2019-12,55
2020-01,63
2020-02,67
2020-03,100
2020-04,96
2020-05,73
2020-06,72
2020-07,72
2020-08,75
2020-09,82
2020-10,88
2020-11,74
2020-12,70
2021-01,79
2021-02,76
2021-03,75
2021-04,72
2021-05,68
2021-06,69
2021-07,65
2021-08,74
2021-09,79
2021-10,76
2021-11,71
2021-12,72
2022-01,78
2022-02,70
2022-03,69
2022-04,63
2022-05,66
2022-06,61
2022-07,60
2022-08,62
2022-09,59
2022-10,68
2022-11,65
2022-12,56
2023-01,65
2023-02,67
2023-03,68
2023-04,67
2023-05,67
2023-06,60
2023-07,62
2023-08,60
2023-09,69
2023-10,69
2023-11,65
2023-12,64
2024-01,68
2024-02,73
2024-03,66
2024-04,68
2024-05,62
2024-06,63
2024-07,65
2024-08,62
2024-09,69
2024-10,74
2024-11,68
2024-12,67
2025-01,77
2025-02,75
2025-03,71
2025-04,76
2025-05,74
