Categoría: Todas las categorías

Mes,health: (Tennessee)
2015-01,67
2015-02,62
2015-03,61
2015-04,63
2015-05,58
2015-06,62
2015-07,65
2015-08,69
2015-09,67
2015-10,64
2015-11,67
2015-12,60
2016-01,62
2016-02,66
2016-03,62
2016-04,62
2016-05,57
2016-06,60
2016-07,56
2016-08,63
2016-09,63
2016-10,59
2016-11,58
2016-12,53
2017-01,66
2017-02,63
2017-03,66
2017-04,60
2017-05,63
2017-06,62
2017-07,62
2017-08,64
2017-09,64
2017-10,66
2017-11,59
2017-12,55
2018-01,66
2018-02,66
2018-03,60
2018-04,64
2018-05,62
2018-06,59
2018-07,64
2018-08,66
2018-09,61
2018-10,63
2018-11,62
2018-12,58
2019-01,69
2019-02,66
2019-03,65
2019-04,68
2019-05,62
2019-06,63
2019-07,64
2019-08,68
2019-09,65
2019-10,69
2019-11,62
2019-12,57
2020-01,68
2020-02,68
2020-03,95
2020-04,80
2020-05,72
2020-06,76
2020-07,85
2020-08,76
2020-09,74
2020-10,76
2020-11,76
2020-12,80
2021-01,100
2021-02,93
2021-03,86
2021-04,74
2021-05,61
2021-06,64
2021-07,66
2021-08,84
2021-09,81
2021-10,72
2021-11,71
2021-12,67
2022-01,90
2022-02,73
2022-03,71
2022-04,66
2022-05,63
2022-06,68
2022-07,65
2022-08,75
2022-09,70
2022-10,67
2022-11,69
2022-12,61
2023-01,73
2023-02,75
2023-03,71
2023-04,71
2023-05,70
2023-06,69
2023-07,67
2023-08,74
2023-09,73
2023-10,73
2023-11,72
2023-12,65
2024-01,71
2024-02,79
2024-03,69
2024-04,74
2024-05,69
2024-06,68
2024-07,72
2024-08,74
2024-09,73
2024-10,79
2024-11,72
2024-12,73
2025-01,79
2025-02,80
2025-03,76
2025-04,78
2025-05,75
