Categoría: Todas las categorías

Mes,health: (Texas)
2015-01,74
2015-02,69
2015-03,66
2015-04,68
2015-05,63
2015-06,66
2015-07,65
2015-08,62
2015-09,67
2015-10,69
2015-11,66
2015-12,66
2016-01,67
2016-02,71
2016-03,64
2016-04,64
2016-05,61
2016-06,65
2016-07,59
2016-08,67
2016-09,70
2016-10,68
2016-11,63
2016-12,59
2017-01,72
2017-02,69
2017-03,68
2017-04,67
2017-05,66
2017-06,66
2017-07,72
2017-08,68
2017-09,68
2017-10,68
2017-11,66
2017-12,59
2018-01,73
2018-02,73
2018-03,70
2018-04,71
2018-05,68
2018-06,70
2018-07,68
2018-08,72
2018-09,71
2018-10,72
2018-11,68
2018-12,61
2019-01,71
2019-02,74
2019-03,74
2019-04,72
2019-05,74
2019-06,68
2019-07,71
2019-08,73
2019-09,72
2019-10,72
2019-11,68
2019-12,63
2020-01,77
2020-02,75
2020-03,86
2020-04,74
2020-05,68
2020-06,76
2020-07,82
2020-08,73
2020-09,77
2020-10,82
2020-11,68
2020-12,73
2021-01,95
2021-02,85
2021-03,88
2021-04,79
2021-05,70
2021-06,73
2021-07,75
2021-08,84
2021-09,83
2021-10,78
2021-11,78
2021-12,80
2022-01,93
2022-02,80
2022-03,84
2022-04,83
2022-05,81
2022-06,83
2022-07,79
2022-08,83
2022-09,85
2022-10,82
2022-11,81
2022-12,75
2023-01,85
2023-02,85
2023-03,85
2023-04,82
2023-05,85
2023-06,77
2023-07,80
2023-08,92
2023-09,85
2023-10,84
2023-11,84
2023-12,73
2024-01,89
2024-02,87
2024-03,87
2024-04,88
2024-05,80
2024-06,81
2024-07,83
2024-08,90
2024-09,85
2024-10,84
2024-11,86
2024-12,85
2025-01,94
2025-02,100
2025-03,95
2025-04,97
2025-05,87
