Categoría: Todas las categorías

Mes,health: (Utah)
2015-01,64
2015-02,65
2015-03,61
2015-04,60
2015-05,55
2015-06,58
2015-07,57
2015-08,59
2015-09,58
2015-10,62
2015-11,63
2015-12,58
2016-01,62
2016-02,60
2016-03,58
2016-04,58
2016-05,53
2016-06,55
2016-07,55
2016-08,58
2016-09,56
2016-10,55
2016-11,58
2016-12,50
2017-01,59
2017-02,60
2017-03,64
2017-04,58
2017-05,59
2017-06,58
2017-07,55
2017-08,57
2017-09,57
2017-10,58
2017-11,62
2017-12,53
2018-01,64
2018-02,63
2018-03,60
2018-04,58
2018-05,56
2018-06,59
2018-07,55
2018-08,63
2018-09,56
2018-10,60
2018-11,59
2018-12,54
2019-01,66
2019-02,64
2019-03,62
2019-04,67
2019-05,58
2019-06,59
2019-07,61
2019-08,62
2019-09,59
2019-10,64
2019-11,60
2019-12,56
2020-01,67
2020-02,66
2020-03,84
2020-04,82
2020-05,70
2020-06,82
2020-07,78
2020-08,72
2020-09,74
2020-10,77
2020-11,69
2020-12,66
2021-01,100
2021-02,93
2021-03,94
2021-04,73
2021-05,62
2021-06,62
2021-07,62
2021-08,69
2021-09,74
2021-10,67
2021-11,74
2021-12,64
2022-01,87
2022-02,76
2022-03,71
2022-04,70
2022-05,66
2022-06,67
2022-07,64
2022-08,72
2022-09,68
2022-10,64
2022-11,66
2022-12,61
2023-01,67
2023-02,73
2023-03,75
2023-04,67
2023-05,68
2023-06,68
2023-07,60
2023-08,68
2023-09,66
2023-10,72
2023-11,69
2023-12,64
2024-01,73
2024-02,75
2024-03,70
2024-04,72
2024-05,69
2024-06,67
2024-07,69
2024-08,68
2024-09,70
2024-10,72
2024-11,70
2024-12,71
2025-01,83
2025-02,80
2025-03,77
2025-04,77
2025-05,72
