Categoría: Todas las categorías

Mes,health: (Virginia)
2015-01,37
2015-02,36
2015-03,36
2015-04,35
2015-05,31
2015-06,38
2015-07,63
2015-08,65
2015-09,65
2015-10,68
2015-11,66
2015-12,62
2016-01,67
2016-02,68
2016-03,68
2016-04,66
2016-05,65
2016-06,62
2016-07,60
2016-08,67
2016-09,65
2016-10,64
2016-11,66
2016-12,61
2017-01,71
2017-02,69
2017-03,74
2017-04,65
2017-05,65
2017-06,67
2017-07,70
2017-08,69
2017-09,65
2017-10,70
2017-11,67
2017-12,64
2018-01,73
2018-02,71
2018-03,69
2018-04,69
2018-05,63
2018-06,64
2018-07,63
2018-08,69
2018-09,63
2018-10,67
2018-11,66
2018-12,58
2019-01,67
2019-02,67
2019-03,66
2019-04,68
2019-05,64
2019-06,64
2019-07,65
2019-08,67
2019-09,64
2019-10,67
2019-11,64
2019-12,61
2020-01,70
2020-02,73
2020-03,100
2020-04,92
2020-05,76
2020-06,72
2020-07,75
2020-08,75
2020-09,71
2020-10,76
2020-11,68
2020-12,69
2021-01,96
2021-02,92
2021-03,88
2021-04,75
2021-05,68
2021-06,69
2021-07,70
2021-08,78
2021-09,81
2021-10,76
2021-11,77
2021-12,77
2022-01,83
2022-02,79
2022-03,78
2022-04,75
2022-05,72
2022-06,75
2022-07,73
2022-08,77
2022-09,76
2022-10,71
2022-11,68
2022-12,64
2023-01,76
2023-02,75
2023-03,76
2023-04,73
2023-05,71
2023-06,72
2023-07,72
2023-08,73
2023-09,71
2023-10,70
2023-11,69
2023-12,64
2024-01,77
2024-02,79
2024-03,79
2024-04,78
2024-05,73
2024-06,73
2024-07,70
2024-08,80
2024-09,75
2024-10,81
2024-11,73
2024-12,76
2025-01,80
2025-02,85
2025-03,79
2025-04,79
2025-05,74
