Category: All categories

Month,health: (U.S. Virgin Islands)
2015-01,40
2015-02,55
2015-03,63
2015-04,56
2015-05,43
2015-06,38
2015-07,58
2015-08,52
2015-09,48
2015-10,49
2015-11,51
2015-12,41
2016-01,53
2016-02,47
2016-03,44
2016-04,43
2016-05,42
2016-06,49
2016-07,59
2016-08,49
2016-09,54
2016-10,55
2016-11,53
2016-12,41
2017-01,62
2017-02,59
2017-03,66
2017-04,43
2017-05,50
2017-06,43
2017-07,35
2017-08,60
2017-09,43
2017-10,33
2017-11,43
2017-12,52
2018-01,53
2018-02,60
2018-03,47
2018-04,50
2018-05,46
2018-06,48
2018-07,52
2018-08,50
2018-09,56
2018-10,53
2018-11,41
2018-12,46
2019-01,49
2019-02,54
2019-03,55
2019-04,52
2019-05,54
2019-06,51
2019-07,49
2019-08,53
2019-09,57
2019-10,52
2019-11,55
2019-12,42
2020-01,50
2020-02,48
2020-03,75
2020-04,75
2020-05,80
2020-06,61
2020-07,84
2020-08,81
2020-09,83
2020-10,73
2020-11,83
2020-12,78
2021-01,71
2021-02,80
2021-03,75
2021-04,71
2021-05,72
2021-06,74
2021-07,81
2021-08,81
2021-09,68
2021-10,70
2021-11,81
2021-12,87
2022-01,100
2022-02,77
2022-03,71
2022-04,77
2022-05,78
2022-06,65
2022-07,65
2022-08,70
2022-09,63
2022-10,59
2022-11,65
2022-12,53
2023-01,68
2023-02,70
2023-03,66
2023-04,71
2023-05,76
2023-06,65
2023-07,69
2023-08,73
2023-09,69
2023-10,68
2023-11,65
2023-12,55
2024-01,66
2024-02,66
2024-03,64
2024-04,72
2024-05,56
2024-06,66
2024-07,71
2024-08,73
2024-09,66
2024-10,75
2024-11,70
2024-12,62
2025-01,72
2025-02,86
2025-03,68
2025-04,71
2025-05,64
