Categoría: Todas las categorías

Mes,health: (Vermont)
2015-01,48
2015-02,50
2015-03,46
2015-04,45
2015-05,41
2015-06,46
2015-07,46
2015-08,45
2015-09,47
2015-10,46
2015-11,49
2015-12,45
2016-01,48
2016-02,46
2016-03,47
2016-04,48
2016-05,44
2016-06,45
2016-07,40
2016-08,47
2016-09,49
2016-10,46
2016-11,47
2016-12,43
2017-01,49
2017-02,48
2017-03,50
2017-04,47
2017-05,48
2017-06,46
2017-07,48
2017-08,46
2017-09,45
2017-10,47
2017-11,53
2017-12,45
2018-01,47
2018-02,46
2018-03,47
2018-04,48
2018-05,46
2018-06,45
2018-07,46
2018-08,47
2018-09,45
2018-10,48
2018-11,50
2018-12,46
2019-01,50
2019-02,50
2019-03,48
2019-04,50
2019-05,45
2019-06,45
2019-07,47
2019-08,47
2019-09,51
2019-10,53
2019-11,50
2019-12,52
2020-01,51
2020-02,48
2020-03,100
2020-04,71
2020-05,56
2020-06,59
2020-07,63
2020-08,60
2020-09,58
2020-10,62
2020-11,67
2020-12,65
2021-01,70
2021-02,71
2021-03,93
2021-04,83
2021-05,59
2021-06,58
2021-07,54
2021-08,64
2021-09,67
2021-10,70
2021-11,74
2021-12,78
2022-01,91
2022-02,57
2022-03,56
2022-04,55
2022-05,52
2022-06,50
2022-07,47
2022-08,48
2022-09,53
2022-10,51
2022-11,51
2022-12,46
2023-01,49
2023-02,55
2023-03,48
2023-04,51
2023-05,56
2023-06,50
2023-07,47
2023-08,49
2023-09,50
2023-10,55
2023-11,55
2023-12,47
2024-01,51
2024-02,56
2024-03,51
2024-04,54
2024-05,52
2024-06,50
2024-07,48
2024-08,49
2024-09,53
2024-10,60
2024-11,56
2024-12,52
2025-01,55
2025-02,56
2025-03,52
2025-04,55
2025-05,54
