Categoría: Todas las categorías

Mes,health: (Virginia Occidental)
2015-01,52
2015-02,61
2015-03,52
2015-04,64
2015-05,47
2015-06,49
2015-07,54
2015-08,64
2015-09,58
2015-10,57
2015-11,52
2015-12,47
2016-01,50
2016-02,49
2016-03,50
2016-04,50
2016-05,49
2016-06,48
2016-07,45
2016-08,54
2016-09,51
2016-10,50
2016-11,52
2016-12,46
2017-01,51
2017-02,55
2017-03,58
2017-04,49
2017-05,53
2017-06,53
2017-07,53
2017-08,57
2017-09,51
2017-10,54
2017-11,50
2017-12,48
2018-01,54
2018-02,52
2018-03,51
2018-04,56
2018-05,53
2018-06,51
2018-07,59
2018-08,62
2018-09,54
2018-10,55
2018-11,52
2018-12,46
2019-01,61
2019-02,58
2019-03,60
2019-04,58
2019-05,53
2019-06,55
2019-07,55
2019-08,63
2019-09,62
2019-10,66
2019-11,54
2019-12,51
2020-01,64
2020-02,65
2020-03,77
2020-04,65
2020-05,53
2020-06,64
2020-07,73
2020-08,67
2020-09,76
2020-10,74
2020-11,71
2020-12,72
2021-01,100
2021-02,78
2021-03,79
2021-04,75
2021-05,62
2021-06,67
2021-07,63
2021-08,82
2021-09,86
2021-10,78
2021-11,73
2021-12,72
2022-01,91
2022-02,74
2022-03,73
2022-04,73
2022-05,72
2022-06,71
2022-07,69
2022-08,81
2022-09,79
2022-10,74
2022-11,73
2022-12,70
2023-01,80
2023-02,81
2023-03,82
2023-04,79
2023-05,78
2023-06,76
2023-07,73
2023-08,82
2023-09,77
2023-10,84
2023-11,78
2023-12,69
2024-01,87
2024-02,85
2024-03,80
2024-04,80
2024-05,79
2024-06,70
2024-07,79
2024-08,82
2024-09,79
2024-10,85
2024-11,78
2024-12,70
2025-01,84
2025-02,94
2025-03,85
2025-04,85
2025-05,87
