Categoría: Todas las categorías

Mes,health: (Washington)
2015-01,64
2015-02,65
2015-03,58
2015-04,58
2015-05,56
2015-06,57
2015-07,60
2015-08,55
2015-09,58
2015-10,62
2015-11,60
2015-12,60
2016-01,61
2016-02,64
2016-03,62
2016-04,56
2016-05,55
2016-06,55
2016-07,49
2016-08,55
2016-09,58
2016-10,55
2016-11,58
2016-12,51
2017-01,61
2017-02,60
2017-03,62
2017-04,55
2017-05,58
2017-06,55
2017-07,51
2017-08,52
2017-09,51
2017-10,55
2017-11,55
2017-12,52
2018-01,60
2018-02,57
2018-03,53
2018-04,55
2018-05,51
2018-06,51
2018-07,49
2018-08,52
2018-09,50
2018-10,53
2018-11,54
2018-12,46
2019-01,58
2019-02,52
2019-03,53
2019-04,54
2019-05,51
2019-06,49
2019-07,50
2019-08,53
2019-09,52
2019-10,56
2019-11,53
2019-12,46
2020-01,57
2020-02,58
2020-03,100
2020-04,68
2020-05,56
2020-06,58
2020-07,63
2020-08,58
2020-09,57
2020-10,63
2020-11,56
2020-12,62
2021-01,70
2021-02,65
2021-03,65
2021-04,62
2021-05,56
2021-06,54
2021-07,53
2021-08,59
2021-09,63
2021-10,62
2021-11,57
2021-12,56
2022-01,70
2022-02,65
2022-03,61
2022-04,58
2022-05,59
2022-06,57
2022-07,54
2022-08,54
2022-09,58
2022-10,60
2022-11,58
2022-12,52
2023-01,61
2023-02,61
2023-03,61
2023-04,58
2023-05,57
2023-06,57
2023-07,53
2023-08,54
2023-09,53
2023-10,58
2023-11,60
2023-12,54
2024-01,62
2024-02,64
2024-03,61
2024-04,61
2024-05,59
2024-06,57
2024-07,55
2024-08,56
2024-09,59
2024-10,63
2024-11,59
2024-12,60
2025-01,67
2025-02,65
2025-03,62
2025-04,61
2025-05,62
