Categoría: Todas las categorías

Mes,healthcare: (California)
2015-01,51
2015-02,52
2015-03,50
2015-04,49
2015-05,46
2015-06,46
2015-07,47
2015-08,48
2015-09,48
2015-10,48
2015-11,46
2015-12,44
2016-01,47
2016-02,48
2016-03,42
2016-04,43
2016-05,40
2016-06,42
2016-07,39
2016-08,45
2016-09,43
2016-10,44
2016-11,44
2016-12,39
2017-01,51
2017-02,46
2017-03,63
2017-04,47
2017-05,61
2017-06,52
2017-07,55
2017-08,48
2017-09,49
2017-10,48
2017-11,48
2017-12,40
2018-01,50
2018-02,48
2018-03,46
2018-04,44
2018-05,44
2018-06,44
2018-07,45
2018-08,47
2018-09,44
2018-10,49
2018-11,45
2018-12,38
2019-01,51
2019-02,48
2019-03,43
2019-04,49
2019-05,45
2019-06,43
2019-07,45
2019-08,49
2019-09,46
2019-10,47
2019-11,44
2019-12,40
2020-01,48
2020-02,50
2020-03,61
2020-04,73
2020-05,62
2020-06,50
2020-07,49
2020-08,44
2020-09,44
2020-10,49
2020-11,45
2020-12,52
2021-01,53
2021-02,52
2021-03,52
2021-04,50
2021-05,47
2021-06,50
2021-07,46
2021-08,52
2021-09,53
2021-10,49
2021-11,47
2021-12,46
2022-01,59
2022-02,58
2022-03,54
2022-04,53
2022-05,52
2022-06,50
2022-07,54
2022-08,58
2022-09,53
2022-10,55
2022-11,51
2022-12,48
2023-01,54
2023-02,55
2023-03,58
2023-04,54
2023-05,58
2023-06,51
2023-07,50
2023-08,53
2023-09,54
2023-10,58
2023-11,55
2023-12,52
2024-01,62
2024-02,60
2024-03,62
2024-04,62
2024-05,58
2024-06,56
2024-07,57
2024-08,58
2024-09,56
2024-10,61
2024-11,58
2024-12,100
2025-01,61
2025-02,62
2025-03,59
2025-04,64
2025-05,62
