Categoría: Todas las categorías

Mes,healthcare: (Idaho)
2015-01,50
2015-02,54
2015-03,50
2015-04,51
2015-05,42
2015-06,46
2015-07,42
2015-08,39
2015-09,41
2015-10,47
2015-11,51
2015-12,41
2016-01,45
2016-02,43
2016-03,41
2016-04,42
2016-05,38
2016-06,39
2016-07,36
2016-08,42
2016-09,38
2016-10,46
2016-11,47
2016-12,39
2017-01,48
2017-02,51
2017-03,55
2017-04,45
2017-05,55
2017-06,49
2017-07,49
2017-08,44
2017-09,47
2017-10,52
2017-11,49
2017-12,44
2018-01,49
2018-02,47
2018-03,45
2018-04,49
2018-05,44
2018-06,42
2018-07,39
2018-08,41
2018-09,43
2018-10,51
2018-11,49
2018-12,41
2019-01,50
2019-02,45
2019-03,46
2019-04,47
2019-05,46
2019-06,44
2019-07,42
2019-08,41
2019-09,44
2019-10,47
2019-11,46
2019-12,41
2020-01,46
2020-02,50
2020-03,57
2020-04,57
2020-05,51
2020-06,48
2020-07,49
2020-08,43
2020-09,49
2020-10,50
2020-11,49
2020-12,49
2021-01,51
2021-02,51
2021-03,53
2021-04,47
2021-05,44
2021-06,47
2021-07,44
2021-08,54
2021-09,52
2021-10,55
2021-11,54
2021-12,51
2022-01,61
2022-02,60
2022-03,59
2022-04,51
2022-05,54
2022-06,53
2022-07,46
2022-08,51
2022-09,57
2022-10,54
2022-11,54
2022-12,49
2023-01,58
2023-02,60
2023-03,59
2023-04,56
2023-05,56
2023-06,56
2023-07,51
2023-08,55
2023-09,59
2023-10,58
2023-11,58
2023-12,55
2024-01,61
2024-02,71
2024-03,63
2024-04,67
2024-05,57
2024-06,49
2024-07,53
2024-08,58
2024-09,60
2024-10,66
2024-11,58
2024-12,100
2025-01,71
2025-02,68
2025-03,66
2025-04,69
2025-05,67
