Categoría: Todas las categorías

Mes,healthcare: (Illinois)
2015-01,54
2015-02,51
2015-03,51
2015-04,49
2015-05,40
2015-06,49
2015-07,46
2015-08,46
2015-09,46
2015-10,50
2015-11,51
2015-12,46
2016-01,53
2016-02,48
2016-03,46
2016-04,45
2016-05,43
2016-06,44
2016-07,39
2016-08,45
2016-09,44
2016-10,45
2016-11,48
2016-12,42
2017-01,51
2017-02,49
2017-03,61
2017-04,45
2017-05,60
2017-06,52
2017-07,54
2017-08,48
2017-09,51
2017-10,52
2017-11,52
2017-12,45
2018-01,52
2018-02,49
2018-03,46
2018-04,47
2018-05,43
2018-06,48
2018-07,43
2018-08,47
2018-09,45
2018-10,50
2018-11,48
2018-12,42
2019-01,49
2019-02,48
2019-03,44
2019-04,48
2019-05,43
2019-06,46
2019-07,45
2019-08,46
2019-09,45
2019-10,51
2019-11,47
2019-12,41
2020-01,49
2020-02,50
2020-03,57
2020-04,76
2020-05,58
2020-06,45
2020-07,49
2020-08,44
2020-09,47
2020-10,49
2020-11,47
2020-12,46
2021-01,50
2021-02,49
2021-03,49
2021-04,47
2021-05,46
2021-06,44
2021-07,43
2021-08,49
2021-09,50
2021-10,49
2021-11,49
2021-12,49
2022-01,62
2022-02,60
2022-03,60
2022-04,55
2022-05,53
2022-06,53
2022-07,55
2022-08,57
2022-09,54
2022-10,54
2022-11,49
2022-12,48
2023-01,55
2023-02,53
2023-03,55
2023-04,53
2023-05,53
2023-06,52
2023-07,56
2023-08,54
2023-09,53
2023-10,58
2023-11,57
2023-12,50
2024-01,60
2024-02,61
2024-03,61
2024-04,57
2024-05,53
2024-06,51
2024-07,53
2024-08,53
2024-09,58
2024-10,54
2024-11,55
2024-12,100
2025-01,64
2025-02,65
2025-03,58
2025-04,62
2025-05,57
