Categoría: Todas las categorías

Mes,healthcare: (Kentucky)
2015-01,56
2015-02,55
2015-03,54
2015-04,56
2015-05,52
2015-06,58
2015-07,68
2015-08,70
2015-09,70
2015-10,71
2015-11,68
2015-12,55
2016-01,58
2016-02,59
2016-03,60
2016-04,56
2016-05,55
2016-06,58
2016-07,52
2016-08,59
2016-09,59
2016-10,60
2016-11,62
2016-12,50
2017-01,60
2017-02,58
2017-03,70
2017-04,58
2017-05,70
2017-06,61
2017-07,64
2017-08,62
2017-09,66
2017-10,67
2017-11,60
2017-12,53
2018-01,59
2018-02,63
2018-03,59
2018-04,56
2018-05,61
2018-06,57
2018-07,58
2018-08,57
2018-09,55
2018-10,59
2018-11,54
2018-12,48
2019-01,61
2019-02,62
2019-03,55
2019-04,57
2019-05,55
2019-06,53
2019-07,57
2019-08,56
2019-09,58
2019-10,55
2019-11,55
2019-12,56
2020-01,56
2020-02,59
2020-03,67
2020-04,100
2020-05,71
2020-06,58
2020-07,60
2020-08,54
2020-09,52
2020-10,61
2020-11,59
2020-12,55
2021-01,64
2021-02,73
2021-03,69
2021-04,62
2021-05,58
2021-06,60
2021-07,68
2021-08,72
2021-09,75
2021-10,66
2021-11,65
2021-12,64
2022-01,76
2022-02,66
2022-03,62
2022-04,63
2022-05,60
2022-06,60
2022-07,61
2022-08,67
2022-09,62
2022-10,65
2022-11,60
2022-12,56
2023-01,64
2023-02,64
2023-03,67
2023-04,65
2023-05,69
2023-06,70
2023-07,67
2023-08,66
2023-09,70
2023-10,68
2023-11,65
2023-12,58
2024-01,65
2024-02,70
2024-03,65
2024-04,75
2024-05,63
2024-06,62
2024-07,68
2024-08,64
2024-09,68
2024-10,74
2024-11,59
2024-12,91
2025-01,71
2025-02,76
2025-03,69
2025-04,67
2025-05,72
