Categoría: Todas las categorías

Mes,healthcare: (Minnesota)
2015-01,35
2015-02,36
2015-03,37
2015-04,37
2015-05,34
2015-06,37
2015-07,40
2015-08,40
2015-09,42
2015-10,44
2015-11,42
2015-12,37
2016-01,34
2016-02,37
2016-03,35
2016-04,33
2016-05,33
2016-06,35
2016-07,32
2016-08,33
2016-09,32
2016-10,35
2016-11,37
2016-12,29
2017-01,38
2017-02,36
2017-03,45
2017-04,35
2017-05,41
2017-06,40
2017-07,41
2017-08,36
2017-09,36
2017-10,36
2017-11,31
2017-12,26
2018-01,34
2018-02,37
2018-03,32
2018-04,34
2018-05,31
2018-06,33
2018-07,33
2018-08,37
2018-09,34
2018-10,38
2018-11,35
2018-12,29
2019-01,37
2019-02,36
2019-03,33
2019-04,36
2019-05,34
2019-06,41
2019-07,35
2019-08,35
2019-09,36
2019-10,38
2019-11,39
2019-12,32
2020-01,35
2020-02,39
2020-03,47
2020-04,61
2020-05,48
2020-06,36
2020-07,38
2020-08,37
2020-09,38
2020-10,44
2020-11,44
2020-12,43
2021-01,44
2021-02,45
2021-03,43
2021-04,44
2021-05,41
2021-06,42
2021-07,40
2021-08,43
2021-09,45
2021-10,40
2021-11,44
2021-12,39
2022-01,50
2022-02,44
2022-03,43
2022-04,44
2022-05,40
2022-06,43
2022-07,39
2022-08,42
2022-09,43
2022-10,44
2022-11,40
2022-12,35
2023-01,40
2023-02,38
2023-03,44
2023-04,42
2023-05,40
2023-06,37
2023-07,39
2023-08,47
2023-09,43
2023-10,47
2023-11,47
2023-12,40
2024-01,50
2024-02,50
2024-03,48
2024-04,48
2024-05,42
2024-06,39
2024-07,39
2024-08,41
2024-09,44
2024-10,47
2024-11,48
2024-12,100
2025-01,47
2025-02,53
2025-03,45
2025-04,51
2025-05,48
