Categoría: Todas las categorías

Mes,healthcare: (Pensilvania)
2015-01,52
2015-02,52
2015-03,49
2015-04,51
2015-05,43
2015-06,54
2015-07,44
2015-08,42
2015-09,45
2015-10,47
2015-11,51
2015-12,48
2016-01,45
2016-02,45
2016-03,47
2016-04,45
2016-05,42
2016-06,40
2016-07,38
2016-08,42
2016-09,43
2016-10,46
2016-11,49
2016-12,38
2017-01,47
2017-02,48
2017-03,63
2017-04,46
2017-05,58
2017-06,52
2017-07,53
2017-08,47
2017-09,48
2017-10,51
2017-11,45
2017-12,45
2018-01,47
2018-02,46
2018-03,44
2018-04,47
2018-05,42
2018-06,44
2018-07,43
2018-08,46
2018-09,44
2018-10,49
2018-11,44
2018-12,39
2019-01,45
2019-02,50
2019-03,45
2019-04,46
2019-05,41
2019-06,44
2019-07,42
2019-08,43
2019-09,44
2019-10,45
2019-11,42
2019-12,38
2020-01,45
2020-02,49
2020-03,54
2020-04,78
2020-05,59
2020-06,42
2020-07,44
2020-08,42
2020-09,43
2020-10,48
2020-11,42
2020-12,45
2021-01,45
2021-02,46
2021-03,47
2021-04,43
2021-05,42
2021-06,42
2021-07,40
2021-08,44
2021-09,45
2021-10,47
2021-11,46
2021-12,46
2022-01,54
2022-02,54
2022-03,52
2022-04,49
2022-05,48
2022-06,45
2022-07,46
2022-08,50
2022-09,48
2022-10,46
2022-11,45
2022-12,39
2023-01,48
2023-02,49
2023-03,50
2023-04,48
2023-05,49
2023-06,48
2023-07,46
2023-08,49
2023-09,50
2023-10,49
2023-11,45
2023-12,42
2024-01,49
2024-02,58
2024-03,54
2024-04,52
2024-05,47
2024-06,44
2024-07,50
2024-08,48
2024-09,52
2024-10,52
2024-11,49
2024-12,100
2025-01,53
2025-02,54
2025-03,54
2025-04,52
2025-05,51
