Categoría: Todas las categorías

Mes,healthcare: (Alaska)
2015-01,40
2015-02,50
2015-03,47
2015-04,40
2015-05,33
2015-06,39
2015-07,34
2015-08,39
2015-09,35
2015-10,44
2015-11,42
2015-12,44
2016-01,44
2016-02,47
2016-03,43
2016-04,41
2016-05,39
2016-06,37
2016-07,33
2016-08,36
2016-09,40
2016-10,42
2016-11,39
2016-12,43
2017-01,51
2017-02,38
2017-03,57
2017-04,49
2017-05,59
2017-06,48
2017-07,57
2017-08,38
2017-09,42
2017-10,38
2017-11,42
2017-12,43
2018-01,47
2018-02,43
2018-03,39
2018-04,42
2018-05,41
2018-06,38
2018-07,36
2018-08,36
2018-09,37
2018-10,37
2018-11,42
2018-12,36
2019-01,44
2019-02,40
2019-03,40
2019-04,41
2019-05,38
2019-06,37
2019-07,38
2019-08,34
2019-09,34
2019-10,45
2019-11,39
2019-12,39
2020-01,41
2020-02,45
2020-03,53
2020-04,60
2020-05,41
2020-06,48
2020-07,38
2020-08,42
2020-09,46
2020-10,50
2020-11,56
2020-12,51
2021-01,54
2021-02,43
2021-03,61
2021-04,49
2021-05,37
2021-06,40
2021-07,49
2021-08,49
2021-09,71
2021-10,63
2021-11,57
2021-12,54
2022-01,66
2022-02,60
2022-03,52
2022-04,48
2022-05,44
2022-06,46
2022-07,44
2022-08,53
2022-09,45
2022-10,50
2022-11,48
2022-12,44
2023-01,57
2023-02,54
2023-03,59
2023-04,51
2023-05,55
2023-06,49
2023-07,47
2023-08,43
2023-09,47
2023-10,53
2023-11,57
2023-12,49
2024-01,60
2024-02,62
2024-03,61
2024-04,57
2024-05,43
2024-06,47
2024-07,42
2024-08,49
2024-09,55
2024-10,57
2024-11,55
2024-12,100
2025-01,62
2025-02,58
2025-03,65
2025-04,68
2025-05,52
