Categoría: Todas las categorías

Mes,healthcare: (Alabama)
2015-01,55
2015-02,53
2015-03,52
2015-04,54
2015-05,48
2015-06,53
2015-07,50
2015-08,48
2015-09,49
2015-10,55
2015-11,56
2015-12,52
2016-01,50
2016-02,47
2016-03,45
2016-04,44
2016-05,41
2016-06,43
2016-07,40
2016-08,44
2016-09,43
2016-10,46
2016-11,49
2016-12,43
2017-01,49
2017-02,46
2017-03,58
2017-04,45
2017-05,51
2017-06,46
2017-07,52
2017-08,45
2017-09,47
2017-10,48
2017-11,52
2017-12,43
2018-01,46
2018-02,46
2018-03,42
2018-04,46
2018-05,42
2018-06,43
2018-07,45
2018-08,46
2018-09,43
2018-10,48
2018-11,45
2018-12,38
2019-01,50
2019-02,44
2019-03,43
2019-04,47
2019-05,43
2019-06,45
2019-07,46
2019-08,46
2019-09,46
2019-10,46
2019-11,45
2019-12,40
2020-01,44
2020-02,44
2020-03,57
2020-04,78
2020-05,60
2020-06,46
2020-07,47
2020-08,44
2020-09,46
2020-10,47
2020-11,47
2020-12,48
2021-01,49
2021-02,51
2021-03,45
2021-04,47
2021-05,45
2021-06,46
2021-07,48
2021-08,52
2021-09,50
2021-10,53
2021-11,53
2021-12,53
2022-01,64
2022-02,58
2022-03,55
2022-04,52
2022-05,53
2022-06,52
2022-07,53
2022-08,57
2022-09,54
2022-10,53
2022-11,52
2022-12,59
2023-01,57
2023-02,56
2023-03,53
2023-04,53
2023-05,54
2023-06,54
2023-07,57
2023-08,61
2023-09,59
2023-10,63
2023-11,60
2023-12,70
2024-01,67
2024-02,70
2024-03,64
2024-04,69
2024-05,59
2024-06,59
2024-07,55
2024-08,66
2024-09,60
2024-10,69
2024-11,63
2024-12,100
2025-01,67
2025-02,67
2025-03,62
2025-04,68
2025-05,63
