Categoría: Todas las categorías

Mes,healthcare: (Arizona)
2015-01,65
2015-02,65
2015-03,63
2015-04,62
2015-05,53
2015-06,60
2015-07,58
2015-08,64
2015-09,53
2015-10,59
2015-11,61
2015-12,57
2016-01,59
2016-02,51
2016-03,52
2016-04,55
2016-05,48
2016-06,53
2016-07,54
2016-08,52
2016-09,54
2016-10,56
2016-11,57
2016-12,50
2017-01,60
2017-02,54
2017-03,75
2017-04,51
2017-05,64
2017-06,62
2017-07,62
2017-08,55
2017-09,55
2017-10,59
2017-11,55
2017-12,49
2018-01,56
2018-02,50
2018-03,52
2018-04,50
2018-05,49
2018-06,53
2018-07,55
2018-08,54
2018-09,51
2018-10,55
2018-11,56
2018-12,46
2019-01,85
2019-02,55
2019-03,53
2019-04,52
2019-05,53
2019-06,52
2019-07,50
2019-08,50
2019-09,49
2019-10,52
2019-11,50
2019-12,44
2020-01,49
2020-02,51
2020-03,62
2020-04,66
2020-05,57
2020-06,54
2020-07,50
2020-08,46
2020-09,49
2020-10,50
2020-11,45
2020-12,51
2021-01,56
2021-02,60
2021-03,58
2021-04,54
2021-05,51
2021-06,54
2021-07,54
2021-08,61
2021-09,54
2021-10,54
2021-11,57
2021-12,56
2022-01,71
2022-02,65
2022-03,63
2022-04,63
2022-05,61
2022-06,62
2022-07,62
2022-08,65
2022-09,64
2022-10,61
2022-11,59
2022-12,55
2023-01,63
2023-02,62
2023-03,62
2023-04,63
2023-05,62
2023-06,66
2023-07,63
2023-08,69
2023-09,66
2023-10,68
2023-11,66
2023-12,56
2024-01,69
2024-02,73
2024-03,70
2024-04,69
2024-05,65
2024-06,58
2024-07,60
2024-08,63
2024-09,64
2024-10,62
2024-11,59
2024-12,100
2025-01,68
2025-02,69
2025-03,62
2025-04,70
2025-05,65
