Categoría: Todas las categorías

Mes,healthcare: (Connecticut)
2015-01,38
2015-02,40
2015-03,39
2015-04,41
2015-05,37
2015-06,44
2015-07,42
2015-08,40
2015-09,42
2015-10,44
2015-11,40
2015-12,37
2016-01,37
2016-02,36
2016-03,37
2016-04,36
2016-05,34
2016-06,36
2016-07,34
2016-08,36
2016-09,36
2016-10,35
2016-11,38
2016-12,33
2017-01,38
2017-02,37
2017-03,45
2017-04,39
2017-05,44
2017-06,44
2017-07,43
2017-08,38
2017-09,40
2017-10,46
2017-11,42
2017-12,35
2018-01,40
2018-02,41
2018-03,37
2018-04,40
2018-05,37
2018-06,39
2018-07,40
2018-08,40
2018-09,41
2018-10,41
2018-11,38
2018-12,37
2019-01,44
2019-02,44
2019-03,41
2019-04,40
2019-05,38
2019-06,40
2019-07,39
2019-08,42
2019-09,38
2019-10,41
2019-11,42
2019-12,35
2020-01,41
2020-02,41
2020-03,47
2020-04,56
2020-05,47
2020-06,39
2020-07,42
2020-08,40
2020-09,44
2020-10,48
2020-11,52
2020-12,51
2021-01,64
2021-02,58
2021-03,76
2021-04,63
2021-05,44
2021-06,44
2021-07,51
2021-08,56
2021-09,56
2021-10,51
2021-11,50
2021-12,62
2022-01,61
2022-02,52
2022-03,60
2022-04,58
2022-05,55
2022-06,58
2022-07,53
2022-08,63
2022-09,57
2022-10,53
2022-11,50
2022-12,45
2023-01,53
2023-02,55
2023-03,60
2023-04,52
2023-05,58
2023-06,62
2023-07,61
2023-08,66
2023-09,55
2023-10,55
2023-11,57
2023-12,52
2024-01,61
2024-02,64
2024-03,59
2024-04,59
2024-05,59
2024-06,57
2024-07,59
2024-08,60
2024-09,60
2024-10,61
2024-11,51
2024-12,100
2025-01,67
2025-02,58
2025-03,67
2025-04,62
2025-05,61
