Categoría: Todas las categorías

Mes,healthcare: (Delaware)
2015-01,60
2015-02,60
2015-03,58
2015-04,54
2015-05,48
2015-06,54
2015-07,58
2015-08,55
2015-09,49
2015-10,58
2015-11,52
2015-12,49
2016-01,52
2016-02,49
2016-03,51
2016-04,48
2016-05,40
2016-06,44
2016-07,41
2016-08,41
2016-09,43
2016-10,48
2016-11,47
2016-12,39
2017-01,52
2017-02,46
2017-03,57
2017-04,48
2017-05,58
2017-06,48
2017-07,51
2017-08,49
2017-09,52
2017-10,47
2017-11,52
2017-12,43
2018-01,44
2018-02,48
2018-03,46
2018-04,43
2018-05,42
2018-06,42
2018-07,41
2018-08,47
2018-09,43
2018-10,48
2018-11,47
2018-12,38
2019-01,46
2019-02,48
2019-03,45
2019-04,43
2019-05,45
2019-06,39
2019-07,43
2019-08,43
2019-09,47
2019-10,51
2019-11,43
2019-12,38
2020-01,50
2020-02,49
2020-03,52
2020-04,81
2020-05,62
2020-06,48
2020-07,48
2020-08,45
2020-09,47
2020-10,52
2020-11,50
2020-12,49
2021-01,50
2021-02,55
2021-03,57
2021-04,53
2021-05,47
2021-06,51
2021-07,52
2021-08,50
2021-09,55
2021-10,56
2021-11,56
2021-12,55
2022-01,61
2022-02,60
2022-03,63
2022-04,58
2022-05,56
2022-06,53
2022-07,59
2022-08,59
2022-09,60
2022-10,55
2022-11,52
2022-12,51
2023-01,60
2023-02,55
2023-03,60
2023-04,54
2023-05,60
2023-06,56
2023-07,54
2023-08,53
2023-09,55
2023-10,62
2023-11,67
2023-12,54
2024-01,67
2024-02,72
2024-03,70
2024-04,62
2024-05,59
2024-06,60
2024-07,53
2024-08,51
2024-09,68
2024-10,70
2024-11,60
2024-12,100
2025-01,71
2025-02,66
2025-03,66
2025-04,68
2025-05,57
