Categoría: Todas las categorías

Mes,healthcare: (Florida)
2015-01,61
2015-02,63
2015-03,59
2015-04,58
2015-05,51
2015-06,57
2015-07,54
2015-08,53
2015-09,54
2015-10,59
2015-11,59
2015-12,54
2016-01,54
2016-02,55
2016-03,51
2016-04,49
2016-05,47
2016-06,47
2016-07,46
2016-08,47
2016-09,49
2016-10,51
2016-11,53
2016-12,48
2017-01,58
2017-02,53
2017-03,65
2017-04,50
2017-05,63
2017-06,58
2017-07,55
2017-08,51
2017-09,41
2017-10,56
2017-11,63
2017-12,49
2018-01,55
2018-02,53
2018-03,47
2018-04,51
2018-05,48
2018-06,49
2018-07,48
2018-08,49
2018-09,50
2018-10,55
2018-11,50
2018-12,42
2019-01,53
2019-02,53
2019-03,50
2019-04,52
2019-05,47
2019-06,47
2019-07,45
2019-08,47
2019-09,47
2019-10,53
2019-11,49
2019-12,43
2020-01,47
2020-02,50
2020-03,55
2020-04,69
2020-05,56
2020-06,49
2020-07,51
2020-08,46
2020-09,52
2020-10,51
2020-11,47
2020-12,50
2021-01,55
2021-02,52
2021-03,52
2021-04,53
2021-05,49
2021-06,51
2021-07,52
2021-08,57
2021-09,53
2021-10,54
2021-11,55
2021-12,55
2022-01,64
2022-02,63
2022-03,62
2022-04,59
2022-05,58
2022-06,59
2022-07,61
2022-08,62
2022-09,56
2022-10,56
2022-11,56
2022-12,55
2023-01,64
2023-02,60
2023-03,60
2023-04,55
2023-05,59
2023-06,62
2023-07,58
2023-08,63
2023-09,63
2023-10,67
2023-11,63
2023-12,58
2024-01,69
2024-02,68
2024-03,65
2024-04,67
2024-05,62
2024-06,58
2024-07,60
2024-08,62
2024-09,63
2024-10,61
2024-11,62
2024-12,100
2025-01,68
2025-02,70
2025-03,64
2025-04,67
2025-05,62
