Categoría: Todas las categorías

Mes,healthcare: (Georgia)
2015-01,49
2015-02,49
2015-03,45
2015-04,45
2015-05,38
2015-06,40
2015-07,45
2015-08,50
2015-09,49
2015-10,49
2015-11,47
2015-12,42
2016-01,55
2016-02,53
2016-03,50
2016-04,50
2016-05,47
2016-06,49
2016-07,46
2016-08,51
2016-09,47
2016-10,51
2016-11,54
2016-12,46
2017-01,55
2017-02,54
2017-03,58
2017-04,49
2017-05,58
2017-06,55
2017-07,56
2017-08,56
2017-09,51
2017-10,55
2017-11,60
2017-12,50
2018-01,59
2018-02,56
2018-03,53
2018-04,53
2018-05,52
2018-06,54
2018-07,53
2018-08,56
2018-09,51
2018-10,56
2018-11,54
2018-12,47
2019-01,59
2019-02,58
2019-03,54
2019-04,54
2019-05,50
2019-06,52
2019-07,51
2019-08,51
2019-09,52
2019-10,56
2019-11,56
2019-12,49
2020-01,57
2020-02,60
2020-03,60
2020-04,68
2020-05,55
2020-06,48
2020-07,49
2020-08,49
2020-09,55
2020-10,52
2020-11,53
2020-12,52
2021-01,56
2021-02,56
2021-03,55
2021-04,52
2021-05,51
2021-06,50
2021-07,50
2021-08,60
2021-09,56
2021-10,55
2021-11,56
2021-12,58
2022-01,70
2022-02,68
2022-03,64
2022-04,57
2022-05,59
2022-06,63
2022-07,59
2022-08,67
2022-09,62
2022-10,63
2022-11,60
2022-12,57
2023-01,68
2023-02,64
2023-03,65
2023-04,58
2023-05,60
2023-06,62
2023-07,58
2023-08,66
2023-09,62
2023-10,64
2023-11,66
2023-12,61
2024-01,70
2024-02,70
2024-03,66
2024-04,65
2024-05,60
2024-06,58
2024-07,61
2024-08,65
2024-09,66
2024-10,65
2024-11,65
2024-12,100
2025-01,81
2025-02,71
2025-03,67
2025-04,66
2025-05,62
