Category: All categories

Month,healthcare: (Guam)
2015-01,34
2015-02,59
2015-03,27
2015-04,43
2015-05,0
2015-06,0
2015-07,30
2015-08,28
2015-09,27
2015-10,48
2015-11,30
2015-12,30
2016-01,36
2016-02,39
2016-03,0
2016-04,56
2016-05,0
2016-06,34
2016-07,0
2016-08,49
2016-09,0
2016-10,34
2016-11,0
2016-12,31
2017-01,34
2017-02,40
2017-03,43
2017-04,38
2017-05,0
2017-06,0
2017-07,43
2017-08,39
2017-09,32
2017-10,28
2017-11,0
2017-12,40
2018-01,31
2018-02,34
2018-03,39
2018-04,0
2018-05,0
2018-06,37
2018-07,0
2018-08,32
2018-09,40
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,39
2019-06,0
2019-07,39
2019-08,0
2019-09,45
2019-10,52
2019-11,42
2019-12,53
2020-01,34
2020-02,29
2020-03,59
2020-04,46
2020-05,24
2020-06,32
2020-07,26
2020-08,31
2020-09,59
2020-10,31
2020-11,44
2020-12,40
2021-01,0
2021-02,34
2021-03,43
2021-04,35
2021-05,53
2021-06,33
2021-07,30
2021-08,36
2021-09,52
2021-10,35
2021-11,50
2021-12,52
2022-01,52
2022-02,53
2022-03,55
2022-04,53
2022-05,55
2022-06,41
2022-07,39
2022-08,38
2022-09,78
2022-10,70
2022-11,49
2022-12,43
2023-01,39
2023-02,35
2023-03,43
2023-04,53
2023-05,38
2023-06,41
2023-07,46
2023-08,51
2023-09,43
2023-10,36
2023-11,49
2023-12,36
2024-01,62
2024-02,38
2024-03,49
2024-04,61
2024-05,63
2024-06,0
2024-07,45
2024-08,45
2024-09,0
2024-10,72
2024-11,0
2024-12,100
2025-01,0
2025-02,63
2025-03,0
2025-04,53
2025-05,48
