Categoría: Todas las categorías

Mes,healthcare: (Iowa)
2015-01,50
2015-02,49
2015-03,49
2015-04,48
2015-05,44
2015-06,46
2015-07,45
2015-08,52
2015-09,48
2015-10,52
2015-11,49
2015-12,44
2016-01,42
2016-02,44
2016-03,45
2016-04,46
2016-05,41
2016-06,48
2016-07,43
2016-08,43
2016-09,43
2016-10,44
2016-11,50
2016-12,38
2017-01,48
2017-02,46
2017-03,59
2017-04,43
2017-05,56
2017-06,50
2017-07,56
2017-08,44
2017-09,47
2017-10,49
2017-11,59
2017-12,41
2018-01,50
2018-02,50
2018-03,46
2018-04,47
2018-05,47
2018-06,43
2018-07,47
2018-08,45
2018-09,44
2018-10,48
2018-11,44
2018-12,42
2019-01,46
2019-02,44
2019-03,50
2019-04,49
2019-05,43
2019-06,45
2019-07,40
2019-08,43
2019-09,40
2019-10,42
2019-11,41
2019-12,37
2020-01,41
2020-02,49
2020-03,56
2020-04,73
2020-05,54
2020-06,42
2020-07,42
2020-08,40
2020-09,44
2020-10,48
2020-11,48
2020-12,49
2021-01,46
2021-02,49
2021-03,49
2021-04,50
2021-05,42
2021-06,48
2021-07,45
2021-08,48
2021-09,49
2021-10,51
2021-11,51
2021-12,50
2022-01,57
2022-02,56
2022-03,52
2022-04,55
2022-05,50
2022-06,47
2022-07,49
2022-08,49
2022-09,48
2022-10,50
2022-11,50
2022-12,45
2023-01,51
2023-02,53
2023-03,51
2023-04,50
2023-05,54
2023-06,56
2023-07,57
2023-08,54
2023-09,56
2023-10,61
2023-11,58
2023-12,51
2024-01,56
2024-02,64
2024-03,61
2024-04,60
2024-05,53
2024-06,52
2024-07,50
2024-08,59
2024-09,56
2024-10,62
2024-11,60
2024-12,100
2025-01,64
2025-02,65
2025-03,61
2025-04,67
2025-05,64
