Categoría: Todas las categorías

Mes,healthcare: (Indiana)
2015-01,59
2015-02,60
2015-03,58
2015-04,60
2015-05,52
2015-06,59
2015-07,52
2015-08,54
2015-09,52
2015-10,54
2015-11,54
2015-12,54
2016-01,47
2016-02,49
2016-03,50
2016-04,45
2016-05,45
2016-06,43
2016-07,40
2016-08,45
2016-09,43
2016-10,46
2016-11,48
2016-12,40
2017-01,50
2017-02,44
2017-03,56
2017-04,43
2017-05,56
2017-06,51
2017-07,55
2017-08,45
2017-09,48
2017-10,49
2017-11,51
2017-12,46
2018-01,49
2018-02,50
2018-03,44
2018-04,47
2018-05,44
2018-06,46
2018-07,44
2018-08,46
2018-09,44
2018-10,46
2018-11,44
2018-12,39
2019-01,50
2019-02,47
2019-03,46
2019-04,46
2019-05,40
2019-06,44
2019-07,47
2019-08,42
2019-09,45
2019-10,44
2019-11,41
2019-12,42
2020-01,46
2020-02,48
2020-03,56
2020-04,88
2020-05,62
2020-06,43
2020-07,48
2020-08,42
2020-09,44
2020-10,47
2020-11,47
2020-12,46
2021-01,46
2021-02,49
2021-03,47
2021-04,48
2021-05,46
2021-06,47
2021-07,43
2021-08,46
2021-09,49
2021-10,49
2021-11,50
2021-12,50
2022-01,55
2022-02,54
2022-03,56
2022-04,53
2022-05,44
2022-06,47
2022-07,47
2022-08,51
2022-09,51
2022-10,51
2022-11,47
2022-12,45
2023-01,51
2023-02,58
2023-03,52
2023-04,45
2023-05,50
2023-06,50
2023-07,50
2023-08,53
2023-09,50
2023-10,55
2023-11,54
2023-12,50
2024-01,60
2024-02,60
2024-03,57
2024-04,55
2024-05,51
2024-06,50
2024-07,52
2024-08,51
2024-09,58
2024-10,56
2024-11,55
2024-12,100
2025-01,58
2025-02,53
2025-03,56
2025-04,62
2025-05,57
