Categoría: Todas las categorías

Mes,healthcare: (Maine)
2015-01,54
2015-02,54
2015-03,53
2015-04,54
2015-05,48
2015-06,58
2015-07,56
2015-08,56
2015-09,52
2015-10,52
2015-11,57
2015-12,54
2016-01,55
2016-02,52
2016-03,51
2016-04,53
2016-05,49
2016-06,49
2016-07,45
2016-08,47
2016-09,48
2016-10,50
2016-11,48
2016-12,48
2017-01,58
2017-02,53
2017-03,68
2017-04,52
2017-05,68
2017-06,58
2017-07,59
2017-08,53
2017-09,54
2017-10,58
2017-11,58
2017-12,54
2018-01,61
2018-02,56
2018-03,51
2018-04,52
2018-05,49
2018-06,48
2018-07,52
2018-08,54
2018-09,50
2018-10,57
2018-11,55
2018-12,44
2019-01,55
2019-02,57
2019-03,55
2019-04,53
2019-05,51
2019-06,49
2019-07,47
2019-08,49
2019-09,53
2019-10,59
2019-11,54
2019-12,53
2020-01,55
2020-02,63
2020-03,66
2020-04,76
2020-05,60
2020-06,52
2020-07,53
2020-08,54
2020-09,58
2020-10,60
2020-11,61
2020-12,58
2021-01,60
2021-02,60
2021-03,66
2021-04,56
2021-05,51
2021-06,54
2021-07,55
2021-08,63
2021-09,66
2021-10,64
2021-11,60
2021-12,60
2022-01,73
2022-02,65
2022-03,69
2022-04,61
2022-05,58
2022-06,58
2022-07,55
2022-08,58
2022-09,59
2022-10,60
2022-11,57
2022-12,54
2023-01,59
2023-02,62
2023-03,65
2023-04,57
2023-05,57
2023-06,58
2023-07,54
2023-08,56
2023-09,57
2023-10,59
2023-11,63
2023-12,54
2024-01,66
2024-02,71
2024-03,63
2024-04,58
2024-05,57
2024-06,49
2024-07,50
2024-08,51
2024-09,58
2024-10,61
2024-11,62
2024-12,100
2025-01,72
2025-02,68
2025-03,65
2025-04,65
2025-05,61
