Categoría: Todas las categorías

Mes,healthcare: (Montana)
2015-01,51
2015-02,66
2015-03,58
2015-04,65
2015-05,53
2015-06,55
2015-07,56
2015-08,51
2015-09,59
2015-10,55
2015-11,60
2015-12,58
2016-01,66
2016-02,63
2016-03,63
2016-04,60
2016-05,54
2016-06,57
2016-07,50
2016-08,54
2016-09,55
2016-10,67
2016-11,55
2016-12,56
2017-01,63
2017-02,62
2017-03,76
2017-04,55
2017-05,70
2017-06,64
2017-07,64
2017-08,53
2017-09,59
2017-10,67
2017-11,62
2017-12,60
2018-01,59
2018-02,60
2018-03,58
2018-04,62
2018-05,57
2018-06,62
2018-07,56
2018-08,55
2018-09,61
2018-10,66
2018-11,57
2018-12,60
2019-01,66
2019-02,67
2019-03,65
2019-04,67
2019-05,58
2019-06,63
2019-07,55
2019-08,55
2019-09,53
2019-10,48
2019-11,54
2019-12,49
2020-01,55
2020-02,58
2020-03,69
2020-04,69
2020-05,56
2020-06,53
2020-07,53
2020-08,46
2020-09,52
2020-10,60
2020-11,56
2020-12,54
2021-01,55
2021-02,57
2021-03,55
2021-04,60
2021-05,50
2021-06,54
2021-07,48
2021-08,54
2021-09,64
2021-10,59
2021-11,60
2021-12,54
2022-01,62
2022-02,57
2022-03,59
2022-04,56
2022-05,53
2022-06,55
2022-07,54
2022-08,54
2022-09,55
2022-10,57
2022-11,57
2022-12,53
2023-01,60
2023-02,58
2023-03,58
2023-04,63
2023-05,59
2023-06,58
2023-07,53
2023-08,58
2023-09,57
2023-10,58
2023-11,62
2023-12,61
2024-01,64
2024-02,66
2024-03,62
2024-04,66
2024-05,54
2024-06,55
2024-07,57
2024-08,56
2024-09,59
2024-10,65
2024-11,60
2024-12,100
2025-01,71
2025-02,60
2025-03,61
2025-04,68
2025-05,56
