Categoría: Todas las categorías

Mes,healthcare: (Carolina del Norte)
2015-01,70
2015-02,68
2015-03,67
2015-04,68
2015-05,54
2015-06,60
2015-07,61
2015-08,61
2015-09,62
2015-10,60
2015-11,66
2015-12,64
2016-01,62
2016-02,61
2016-03,59
2016-04,60
2016-05,59
2016-06,59
2016-07,54
2016-08,56
2016-09,59
2016-10,59
2016-11,63
2016-12,55
2017-01,62
2017-02,62
2017-03,72
2017-04,57
2017-05,67
2017-06,61
2017-07,64
2017-08,62
2017-09,60
2017-10,64
2017-11,63
2017-12,58
2018-01,61
2018-02,65
2018-03,56
2018-04,60
2018-05,56
2018-06,58
2018-07,54
2018-08,57
2018-09,54
2018-10,58
2018-11,53
2018-12,47
2019-01,52
2019-02,51
2019-03,51
2019-04,52
2019-05,47
2019-06,47
2019-07,47
2019-08,48
2019-09,46
2019-10,51
2019-11,46
2019-12,44
2020-01,49
2020-02,50
2020-03,58
2020-04,94
2020-05,68
2020-06,47
2020-07,46
2020-08,47
2020-09,46
2020-10,49
2020-11,47
2020-12,49
2021-01,51
2021-02,51
2021-03,49
2021-04,49
2021-05,47
2021-06,49
2021-07,48
2021-08,52
2021-09,52
2021-10,51
2021-11,52
2021-12,54
2022-01,64
2022-02,61
2022-03,62
2022-04,59
2022-05,57
2022-06,55
2022-07,53
2022-08,59
2022-09,56
2022-10,55
2022-11,56
2022-12,52
2023-01,61
2023-02,56
2023-03,56
2023-04,53
2023-05,54
2023-06,57
2023-07,54
2023-08,60
2023-09,59
2023-10,61
2023-11,60
2023-12,54
2024-01,66
2024-02,69
2024-03,65
2024-04,61
2024-05,57
2024-06,54
2024-07,54
2024-08,58
2024-09,58
2024-10,60
2024-11,59
2024-12,100
2025-01,66
2025-02,66
2025-03,65
2025-04,63
2025-05,58
