Categoría: Todas las categorías

Mes,healthcare: (Dakota del Norte)
2015-01,51
2015-02,52
2015-03,54
2015-04,48
2015-05,47
2015-06,49
2015-07,55
2015-08,47
2015-09,56
2015-10,45
2015-11,52
2015-12,53
2016-01,46
2016-02,46
2016-03,48
2016-04,44
2016-05,44
2016-06,41
2016-07,39
2016-08,46
2016-09,51
2016-10,44
2016-11,44
2016-12,42
2017-01,53
2017-02,46
2017-03,66
2017-04,51
2017-05,56
2017-06,53
2017-07,51
2017-08,45
2017-09,52
2017-10,56
2017-11,58
2017-12,48
2018-01,51
2018-02,57
2018-03,50
2018-04,57
2018-05,49
2018-06,49
2018-07,49
2018-08,64
2018-09,61
2018-10,67
2018-11,51
2018-12,48
2019-01,49
2019-02,54
2019-03,52
2019-04,53
2019-05,51
2019-06,52
2019-07,48
2019-08,55
2019-09,55
2019-10,54
2019-11,47
2019-12,53
2020-01,58
2020-02,56
2020-03,64
2020-04,83
2020-05,73
2020-06,63
2020-07,61
2020-08,56
2020-09,66
2020-10,86
2020-11,76
2020-12,72
2021-01,65
2021-02,65
2021-03,73
2021-04,63
2021-05,62
2021-06,63
2021-07,56
2021-08,60
2021-09,77
2021-10,64
2021-11,70
2021-12,64
2022-01,63
2022-02,68
2022-03,69
2022-04,56
2022-05,60
2022-06,64
2022-07,62
2022-08,69
2022-09,62
2022-10,70
2022-11,63
2022-12,59
2023-01,68
2023-02,67
2023-03,70
2023-04,58
2023-05,65
2023-06,62
2023-07,61
2023-08,59
2023-09,72
2023-10,70
2023-11,70
2023-12,57
2024-01,73
2024-02,76
2024-03,69
2024-04,74
2024-05,57
2024-06,59
2024-07,65
2024-08,60
2024-09,69
2024-10,76
2024-11,63
2024-12,100
2025-01,69
2025-02,66
2025-03,66
2025-04,64
2025-05,65
