Categoría: Todas las categorías

Mes,healthcare: (Nebraska)
2015-01,46
2015-02,49
2015-03,49
2015-04,48
2015-05,45
2015-06,49
2015-07,45
2015-08,41
2015-09,43
2015-10,47
2015-11,44
2015-12,45
2016-01,46
2016-02,45
2016-03,42
2016-04,40
2016-05,35
2016-06,36
2016-07,39
2016-08,42
2016-09,40
2016-10,44
2016-11,48
2016-12,39
2017-01,47
2017-02,45
2017-03,60
2017-04,40
2017-05,51
2017-06,47
2017-07,51
2017-08,46
2017-09,45
2017-10,47
2017-11,51
2017-12,43
2018-01,46
2018-02,50
2018-03,47
2018-04,46
2018-05,43
2018-06,39
2018-07,42
2018-08,47
2018-09,40
2018-10,46
2018-11,45
2018-12,38
2019-01,46
2019-02,44
2019-03,46
2019-04,45
2019-05,41
2019-06,40
2019-07,43
2019-08,44
2019-09,42
2019-10,43
2019-11,43
2019-12,41
2020-01,42
2020-02,49
2020-03,50
2020-04,62
2020-05,53
2020-06,44
2020-07,43
2020-08,42
2020-09,47
2020-10,54
2020-11,49
2020-12,52
2021-01,47
2021-02,52
2021-03,53
2021-04,50
2021-05,49
2021-06,46
2021-07,47
2021-08,51
2021-09,57
2021-10,51
2021-11,55
2021-12,54
2022-01,69
2022-02,63
2022-03,61
2022-04,58
2022-05,59
2022-06,56
2022-07,55
2022-08,59
2022-09,59
2022-10,53
2022-11,57
2022-12,46
2023-01,62
2023-02,62
2023-03,62
2023-04,57
2023-05,63
2023-06,53
2023-07,58
2023-08,62
2023-09,61
2023-10,60
2023-11,61
2023-12,58
2024-01,75
2024-02,76
2024-03,70
2024-04,68
2024-05,63
2024-06,56
2024-07,54
2024-08,64
2024-09,64
2024-10,69
2024-11,65
2024-12,100
2025-01,69
2025-02,68
2025-03,66
2025-04,72
2025-05,73
