Categoría: Todas las categorías

Mes,healthcare: (Nuevo Hampshire)
2015-01,50
2015-02,52
2015-03,50
2015-04,48
2015-05,45
2015-06,52
2015-07,45
2015-08,46
2015-09,47
2015-10,49
2015-11,46
2015-12,44
2016-01,43
2016-02,44
2016-03,44
2016-04,43
2016-05,38
2016-06,39
2016-07,36
2016-08,38
2016-09,40
2016-10,42
2016-11,48
2016-12,38
2017-01,47
2017-02,41
2017-03,59
2017-04,43
2017-05,57
2017-06,45
2017-07,47
2017-08,39
2017-09,45
2017-10,46
2017-11,47
2017-12,41
2018-01,45
2018-02,45
2018-03,41
2018-04,47
2018-05,45
2018-06,42
2018-07,40
2018-08,42
2018-09,40
2018-10,45
2018-11,40
2018-12,36
2019-01,43
2019-02,41
2019-03,41
2019-04,47
2019-05,39
2019-06,40
2019-07,39
2019-08,40
2019-09,45
2019-10,42
2019-11,41
2019-12,36
2020-01,46
2020-02,52
2020-03,53
2020-04,66
2020-05,53
2020-06,46
2020-07,45
2020-08,43
2020-09,44
2020-10,49
2020-11,50
2020-12,53
2021-01,49
2021-02,48
2021-03,51
2021-04,45
2021-05,50
2021-06,45
2021-07,40
2021-08,43
2021-09,51
2021-10,45
2021-11,50
2021-12,46
2022-01,57
2022-02,52
2022-03,51
2022-04,48
2022-05,45
2022-06,46
2022-07,44
2022-08,52
2022-09,49
2022-10,47
2022-11,48
2022-12,44
2023-01,48
2023-02,49
2023-03,49
2023-04,50
2023-05,46
2023-06,48
2023-07,44
2023-08,48
2023-09,52
2023-10,49
2023-11,51
2023-12,40
2024-01,53
2024-02,58
2024-03,53
2024-04,51
2024-05,44
2024-06,41
2024-07,47
2024-08,51
2024-09,52
2024-10,55
2024-11,54
2024-12,100
2025-01,58
2025-02,58
2025-03,57
2025-04,54
2025-05,49
