Categoría: Todas las categorías

Mes,healthcare: (Nuevo México)
2015-01,69
2015-02,65
2015-03,62
2015-04,64
2015-05,56
2015-06,61
2015-07,65
2015-08,59
2015-09,64
2015-10,68
2015-11,60
2015-12,62
2016-01,70
2016-02,67
2016-03,64
2016-04,61
2016-05,53
2016-06,55
2016-07,48
2016-08,53
2016-09,54
2016-10,55
2016-11,66
2016-12,56
2017-01,74
2017-02,67
2017-03,77
2017-04,55
2017-05,72
2017-06,71
2017-07,73
2017-08,66
2017-09,63
2017-10,64
2017-11,65
2017-12,60
2018-01,65
2018-02,61
2018-03,53
2018-04,55
2018-05,53
2018-06,57
2018-07,52
2018-08,58
2018-09,53
2018-10,54
2018-11,55
2018-12,45
2019-01,56
2019-02,56
2019-03,50
2019-04,52
2019-05,50
2019-06,50
2019-07,53
2019-08,47
2019-09,50
2019-10,55
2019-11,51
2019-12,47
2020-01,50
2020-02,54
2020-03,58
2020-04,69
2020-05,59
2020-06,50
2020-07,50
2020-08,44
2020-09,51
2020-10,54
2020-11,54
2020-12,56
2021-01,55
2021-02,65
2021-03,62
2021-04,66
2021-05,65
2021-06,64
2021-07,62
2021-08,61
2021-09,62
2021-10,60
2021-11,63
2021-12,57
2022-01,66
2022-02,61
2022-03,61
2022-04,60
2022-05,52
2022-06,55
2022-07,53
2022-08,59
2022-09,60
2022-10,59
2022-11,52
2022-12,53
2023-01,61
2023-02,58
2023-03,60
2023-04,55
2023-05,60
2023-06,58
2023-07,65
2023-08,60
2023-09,61
2023-10,64
2023-11,64
2023-12,57
2024-01,72
2024-02,77
2024-03,70
2024-04,71
2024-05,70
2024-06,64
2024-07,65
2024-08,71
2024-09,68
2024-10,69
2024-11,63
2024-12,100
2025-01,76
2025-02,74
2025-03,72
2025-04,76
2025-05,68
