Categoría: Todas las categorías

Mes,healthcare: (Nevada)
2015-01,69
2015-02,68
2015-03,63
2015-04,65
2015-05,58
2015-06,59
2015-07,50
2015-08,52
2015-09,52
2015-10,56
2015-11,57
2015-12,45
2016-01,49
2016-02,53
2016-03,54
2016-04,48
2016-05,44
2016-06,47
2016-07,45
2016-08,45
2016-09,45
2016-10,48
2016-11,55
2016-12,48
2017-01,59
2017-02,51
2017-03,64
2017-04,49
2017-05,63
2017-06,55
2017-07,59
2017-08,50
2017-09,55
2017-10,53
2017-11,56
2017-12,53
2018-01,54
2018-02,54
2018-03,54
2018-04,51
2018-05,49
2018-06,54
2018-07,48
2018-08,54
2018-09,49
2018-10,52
2018-11,53
2018-12,45
2019-01,53
2019-02,55
2019-03,52
2019-04,53
2019-05,49
2019-06,51
2019-07,51
2019-08,50
2019-09,51
2019-10,59
2019-11,50
2019-12,46
2020-01,54
2020-02,58
2020-03,63
2020-04,72
2020-05,59
2020-06,62
2020-07,60
2020-08,51
2020-09,53
2020-10,56
2020-11,54
2020-12,55
2021-01,60
2021-02,60
2021-03,58
2021-04,53
2021-05,50
2021-06,51
2021-07,54
2021-08,56
2021-09,59
2021-10,57
2021-11,57
2021-12,52
2022-01,78
2022-02,68
2022-03,69
2022-04,66
2022-05,68
2022-06,67
2022-07,63
2022-08,68
2022-09,65
2022-10,61
2022-11,61
2022-12,58
2023-01,65
2023-02,65
2023-03,65
2023-04,64
2023-05,66
2023-06,67
2023-07,65
2023-08,68
2023-09,72
2023-10,69
2023-11,67
2023-12,60
2024-01,71
2024-02,74
2024-03,70
2024-04,70
2024-05,65
2024-06,59
2024-07,60
2024-08,68
2024-09,68
2024-10,68
2024-11,61
2024-12,100
2025-01,71
2025-02,70
2025-03,72
2025-04,72
2025-05,67
