Categoría: Todas las categorías

Mes,healthcare: (Nueva York)
2015-01,40
2015-02,36
2015-03,39
2015-04,38
2015-05,34
2015-06,37
2015-07,35
2015-08,35
2015-09,36
2015-10,39
2015-11,42
2015-12,39
2016-01,39
2016-02,42
2016-03,41
2016-04,39
2016-05,36
2016-06,34
2016-07,36
2016-08,41
2016-09,40
2016-10,44
2016-11,45
2016-12,38
2017-01,50
2017-02,47
2017-03,60
2017-04,46
2017-05,57
2017-06,50
2017-07,55
2017-08,40
2017-09,49
2017-10,51
2017-11,50
2017-12,46
2018-01,50
2018-02,50
2018-03,44
2018-04,44
2018-05,47
2018-06,43
2018-07,44
2018-08,43
2018-09,44
2018-10,46
2018-11,46
2018-12,44
2019-01,47
2019-02,51
2019-03,49
2019-04,49
2019-05,43
2019-06,41
2019-07,48
2019-08,42
2019-09,45
2019-10,44
2019-11,43
2019-12,37
2020-01,45
2020-02,44
2020-03,51
2020-04,61
2020-05,55
2020-06,44
2020-07,44
2020-08,44
2020-09,43
2020-10,46
2020-11,44
2020-12,47
2021-01,45
2021-02,46
2021-03,50
2021-04,48
2021-05,48
2021-06,44
2021-07,48
2021-08,44
2021-09,52
2021-10,49
2021-11,47
2021-12,48
2022-01,52
2022-02,52
2022-03,49
2022-04,47
2022-05,43
2022-06,43
2022-07,44
2022-08,50
2022-09,49
2022-10,48
2022-11,46
2022-12,43
2023-01,48
2023-02,50
2023-03,47
2023-04,45
2023-05,44
2023-06,45
2023-07,46
2023-08,48
2023-09,49
2023-10,48
2023-11,49
2023-12,45
2024-01,51
2024-02,55
2024-03,55
2024-04,53
2024-05,48
2024-06,46
2024-07,48
2024-08,50
2024-09,52
2024-10,50
2024-11,52
2024-12,100
2025-01,57
2025-02,54
2025-03,56
2025-04,54
2025-05,58
