Categoría: Todas las categorías

Mes,healthcare: (Ohio)
2015-01,53
2015-02,51
2015-03,51
2015-04,55
2015-05,48
2015-06,52
2015-07,53
2015-08,54
2015-09,48
2015-10,53
2015-11,52
2015-12,50
2016-01,50
2016-02,51
2016-03,48
2016-04,44
2016-05,42
2016-06,42
2016-07,40
2016-08,48
2016-09,43
2016-10,48
2016-11,49
2016-12,41
2017-01,58
2017-02,52
2017-03,65
2017-04,47
2017-05,65
2017-06,59
2017-07,61
2017-08,51
2017-09,52
2017-10,56
2017-11,54
2017-12,44
2018-01,53
2018-02,52
2018-03,49
2018-04,49
2018-05,46
2018-06,48
2018-07,44
2018-08,51
2018-09,48
2018-10,52
2018-11,47
2018-12,41
2019-01,51
2019-02,52
2019-03,51
2019-04,51
2019-05,45
2019-06,46
2019-07,47
2019-08,49
2019-09,47
2019-10,50
2019-11,46
2019-12,42
2020-01,49
2020-02,51
2020-03,58
2020-04,88
2020-05,64
2020-06,49
2020-07,46
2020-08,46
2020-09,48
2020-10,51
2020-11,50
2020-12,50
2021-01,47
2021-02,51
2021-03,51
2021-04,49
2021-05,49
2021-06,50
2021-07,48
2021-08,52
2021-09,54
2021-10,54
2021-11,57
2021-12,52
2022-01,60
2022-02,59
2022-03,61
2022-04,58
2022-05,53
2022-06,55
2022-07,53
2022-08,55
2022-09,54
2022-10,54
2022-11,54
2022-12,50
2023-01,58
2023-02,61
2023-03,57
2023-04,59
2023-05,56
2023-06,56
2023-07,54
2023-08,57
2023-09,58
2023-10,60
2023-11,57
2023-12,52
2024-01,65
2024-02,67
2024-03,65
2024-04,59
2024-05,58
2024-06,53
2024-07,57
2024-08,56
2024-09,60
2024-10,63
2024-11,60
2024-12,100
2025-01,62
2025-02,63
2025-03,60
2025-04,63
2025-05,58
