Categoría: Todas las categorías

Mes,healthcare: (Oklahoma)
2015-01,53
2015-02,52
2015-03,48
2015-04,48
2015-05,41
2015-06,49
2015-07,48
2015-08,52
2015-09,55
2015-10,56
2015-11,53
2015-12,55
2016-01,53
2016-02,51
2016-03,45
2016-04,43
2016-05,42
2016-06,45
2016-07,41
2016-08,47
2016-09,43
2016-10,45
2016-11,51
2016-12,42
2017-01,55
2017-02,49
2017-03,62
2017-04,48
2017-05,57
2017-06,50
2017-07,54
2017-08,48
2017-09,48
2017-10,53
2017-11,53
2017-12,47
2018-01,50
2018-02,45
2018-03,48
2018-04,46
2018-05,48
2018-06,43
2018-07,46
2018-08,49
2018-09,43
2018-10,48
2018-11,47
2018-12,41
2019-01,50
2019-02,46
2019-03,46
2019-04,45
2019-05,39
2019-06,46
2019-07,45
2019-08,43
2019-09,44
2019-10,49
2019-11,43
2019-12,43
2020-01,47
2020-02,51
2020-03,58
2020-04,62
2020-05,49
2020-06,50
2020-07,47
2020-08,44
2020-09,50
2020-10,50
2020-11,54
2020-12,56
2021-01,56
2021-02,51
2021-03,50
2021-04,51
2021-05,45
2021-06,50
2021-07,52
2021-08,64
2021-09,55
2021-10,52
2021-11,57
2021-12,61
2022-01,76
2022-02,63
2022-03,62
2022-04,63
2022-05,58
2022-06,55
2022-07,54
2022-08,61
2022-09,57
2022-10,57
2022-11,57
2022-12,55
2023-01,67
2023-02,62
2023-03,60
2023-04,57
2023-05,60
2023-06,58
2023-07,58
2023-08,62
2023-09,63
2023-10,66
2023-11,67
2023-12,60
2024-01,69
2024-02,75
2024-03,73
2024-04,69
2024-05,60
2024-06,59
2024-07,57
2024-08,65
2024-09,64
2024-10,67
2024-11,63
2024-12,100
2025-01,71
2025-02,71
2025-03,68
2025-04,67
2025-05,63
